"Ano","Motivo/Situação","CID","Qte Acidentes","Situação"
"2000","Típico-Com Cat","S10:Traum Superf do Pescoco","1333","Com Cat Registrada"
"2000","Típico-Com Cat","S06:Traum Intracraniano","1321","Com Cat Registrada"
"2000","Típico-Com Cat","H16:Ceratite","1258","Com Cat Registrada"
"2000","Típico-Com Cat","S00:Traum Superf da Cabeca","1180","Com Cat Registrada"
"2000","Típico-Com Cat","T13:Outr Traum de Membro Infer Nivel Ne","1110","Com Cat Registrada"
"2000","Típico-Com Cat","S72:Frat do Femur","1091","Com Cat Registrada"
"2000","Típico-Com Cat","S30:Traum Superf do Abdome do Dorso e da Pelv","1023","Com Cat Registrada"
"2000","Típico-Com Cat","S02:Frat do Cranio e dos Ossos da Face","978","Com Cat Registrada"
"2000","Típico-Com Cat","M75:Lesoes do Ombro","898","Com Cat Registrada"
"2000","Típico-Com Cat","M77:Outr Entesopatias","510","Com Cat Registrada"
"2000","Típico-Com Cat","H83:Outr Transt do Ouvido Interno","504","Com Cat Registrada"
"2000","Típico-Com Cat","H90:Perda Audicao Transt Conducao Neuro-Sens","500","Com Cat Registrada"
"2000","Típico-Com Cat","M70:Transt Tec Moles Relac Uso Excess e Press","457","Com Cat Registrada"
"2000","Trajeto-Com Cat","998:Outros","6497","Com Cat Registrada"
"2000","Trajeto-Com Cat","999:Ignorado","4729","Com Cat Registrada"
"2000","Trajeto-Com Cat","S82:Frat da Perna Incl Tornozelo","2991","Com Cat Registrada"
"2000","Trajeto-Com Cat","S93:Luxac Entors Distens Artic Lig Niv Tornoz","2271","Com Cat Registrada"
"2000","Trajeto-Com Cat","S62:Frat ao Nivel do Punho e da Mao","2053","Com Cat Registrada"
"2000","Trajeto-Com Cat","S42:Frat do Ombro e do Braco","1664","Com Cat Registrada"
"2000","Trajeto-Com Cat","S92:Frat do Pe","1642","Com Cat Registrada"
"2000","Trajeto-Com Cat","S52:Frat do Antebraco","1632","Com Cat Registrada"
"2000","Trajeto-Com Cat","Z54:Convalescenca","1169","Com Cat Registrada"
"2000","Trajeto-Com Cat","S83:Luxacao Entorse Distensao Art Lig Joelho","1051","Com Cat Registrada"
"2000","Trajeto-Com Cat","S80:Traum Superf da Perna","824","Com Cat Registrada"
"2000","Trajeto-Com Cat","S06:Traum Intracraniano","734","Com Cat Registrada"
"2000","Trajeto-Com Cat","S72:Frat do Femur","671","Com Cat Registrada"
"2000","Trajeto-Com Cat","S50:Traum Superf do Cotovelo e do Antebraco","640","Com Cat Registrada"
"2000","Trajeto-Com Cat","S60:Traum Superf do Punho e da Mao","605","Com Cat Registrada"
"2000","Trajeto-Com Cat","S61:Ferim do Punho e da Mao","594","Com Cat Registrada"
"2000","Trajeto-Com Cat","S01:Ferim da Cabeca","519","Com Cat Registrada"
"2000","Trajeto-Com Cat","S81:Ferim da Perna","490","Com Cat Registrada"
"2000","Trajeto-Com Cat","S90:Traum Superf do Tornozelo e do Pe","489","Com Cat Registrada"
"2000","Trajeto-Com Cat","S43:Luxacao Entorse Distens Artic Lig Cint Es","463","Com Cat Registrada"
"2000","Trajeto-Com Cat","T98:Sequelas Outr Efeitos Causas Externas e N","434","Com Cat Registrada"
"2000","Trajeto-Com Cat","S02:Frat do Cranio e dos Ossos da Face","385","Com Cat Registrada"
"2000","Trajeto-Com Cat","S63:Luxac Entors Distens Artic Lig Niv Punho","380","Com Cat Registrada"
"2000","Trajeto-Com Cat","S32:Frat da Coluna Lombar e da Pelve","374","Com Cat Registrada"
"2000","Trajeto-Com Cat","S40:Traum Superf do Ombro e do Braco","362","Com Cat Registrada"
"2000","Trajeto-Com Cat","M54:Dorsalgia","357","Com Cat Registrada"
"2000","Trajeto-Com Cat","S91:Ferim do Tornozelo e do Pe","320","Com Cat Registrada"
"2000","Trajeto-Com Cat","S70:Traum Superf do Quadril e da Coxa","304","Com Cat Registrada"
"2000","Trajeto-Com Cat","S22:Frat de Costelas Esterno e Coluna Toracic","295","Com Cat Registrada"
"2000","Trajeto-Com Cat","S20:Traum Superf do Torax","273","Com Cat Registrada"
"2000","Trajeto-Com Cat","S00:Traum Superf da Cabeca","257","Com Cat Registrada"
"2000","Trajeto-Com Cat","M65:Sinovite e Tenossinovite","222","Com Cat Registrada"
"2000","Trajeto-Com Cat","S51:Ferim do Antebraco","214","Com Cat Registrada"
"2000","Trajeto-Com Cat","T14:Traum de Regiao Ne do Corpo","201","Com Cat Registrada"
"2000","Trajeto-Com Cat","S41:Ferim do Ombro e do Braco","191","Com Cat Registrada"
"2000","Trajeto-Com Cat","T13:Outr Traum de Membro Infer Nivel Ne","184","Com Cat Registrada"
"2000","Trajeto-Com Cat","S10:Traum Superf do Pescoco","182","Com Cat Registrada"
"2000","Trajeto-Com Cat","S30:Traum Superf do Abdome do Dorso e da Pelv","147","Com Cat Registrada"
"2000","Trajeto-Com Cat","S69:Outr Traum e Os Ne do Punho e da Mao","77","Com Cat Registrada"
"2000","Trajeto-Com Cat","S68:Amput Traum ao Nivel do Punho e da Mao","75","Com Cat Registrada"
"2000","Trajeto-Com Cat","M75:Lesoes do Ombro","73","Com Cat Registrada"
"2000","Trajeto-Com Cat","S66:Traum de Musculo e Tendao Nivel Punho e M","63","Com Cat Registrada"
"2000","Trajeto-Com Cat","S33:Luxac Entors Dist Artic Lig Col Lombar Pe","60","Com Cat Registrada"
"2000","Trajeto-Com Cat","T15:Corpo Estranho na Parte Externa do Olho","48","Com Cat Registrada"
"2000","Trajeto-Com Cat","S05:Traum do Olho e da Orbita Ocular","43","Com Cat Registrada"
"2000","Trajeto-Com Cat","M77:Outr Entesopatias","29","Com Cat Registrada"
"2000","Trajeto-Com Cat","S67:Lesao p/Esmag do Punho e da Mao","29","Com Cat Registrada"
"2000","Trajeto-Com Cat","M70:Transt Tec Moles Relac Uso Excess e Press","20","Com Cat Registrada"
"2000","Trajeto-Com Cat","H16:Ceratite","12","Com Cat Registrada"
"2000","Trajeto-Com Cat","T23:Queim e Corrosao do Punho e da Mao","11","Com Cat Registrada"
"2000","Trajeto-Com Cat","H83:Outr Transt do Ouvido Interno","7","Com Cat Registrada"
"2000","Trajeto-Com Cat","H90:Perda Audicao Transt Conducao Neuro-Sens","5","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","M65:Sinovite e Tenossinovite","6015","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","998:Outros","4035","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","999:Ignorado","2141","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","H90:Perda Audicao Transt Conducao Neuro-Sens","1420","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","H83:Outr Transt do Ouvido Interno","1273","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","M75:Lesoes do Ombro","972","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","M54:Dorsalgia","739","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","M70:Transt Tec Moles Relac Uso Excess e Press","678","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","M77:Outr Entesopatias","574","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","Z54:Convalescenca","187","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S61:Ferim do Punho e da Mao","109","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","T98:Sequelas Outr Efeitos Causas Externas e N","94","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S62:Frat ao Nivel do Punho e da Mao","93","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S60:Traum Superf do Punho e da Mao","55","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S52:Frat do Antebraco","54","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S63:Luxac Entors Distens Artic Lig Niv Punho","51","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S82:Frat da Perna Incl Tornozelo","48","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S10:Traum Superf do Pescoco","43","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S93:Luxac Entors Distens Artic Lig Niv Tornoz","41","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S83:Luxacao Entorse Distensao Art Lig Joelho","37","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S68:Amput Traum ao Nivel do Punho e da Mao","34","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S92:Frat do Pe","34","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S43:Luxacao Entorse Distens Artic Lig Cint Es","31","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S33:Luxac Entors Dist Artic Lig Col Lombar Pe","30","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S66:Traum de Musculo e Tendao Nivel Punho e M","29","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S50:Traum Superf do Cotovelo e do Antebraco","25","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S42:Frat do Ombro e do Braco","23","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S69:Outr Traum e Os Ne do Punho e da Mao","21","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S81:Ferim da Perna","20","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S01:Ferim da Cabeca","19","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S22:Frat de Costelas Esterno e Coluna Toracic","19","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S40:Traum Superf do Ombro e do Braco","19","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S80:Traum Superf da Perna","17","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S91:Ferim do Tornozelo e do Pe","17","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S41:Ferim do Ombro e do Braco","14","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S51:Ferim do Antebraco","14","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S90:Traum Superf do Tornozelo e do Pe","14","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S32:Frat da Coluna Lombar e da Pelve","13","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S72:Frat do Femur","12","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S06:Traum Intracraniano","9","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S20:Traum Superf do Torax","9","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S70:Traum Superf do Quadril e da Coxa","8","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S67:Lesao p/Esmag do Punho e da Mao","7","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S02:Frat do Cranio e dos Ossos da Face","6","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S00:Traum Superf da Cabeca","5","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","T23:Queim e Corrosao do Punho e da Mao","5","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S30:Traum Superf do Abdome do Dorso e da Pelv","4","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","T13:Outr Traum de Membro Infer Nivel Ne","4","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","T14:Traum de Regiao Ne do Corpo","4","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","H16:Ceratite","3","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","S05:Traum do Olho e da Orbita Ocular","3","Com Cat Registrada"
"2000","Doença do Trabalho-Com Cat","T15:Corpo Estranho na Parte Externa do Olho","3","Com Cat Registrada"
"2001","Típico-Com Cat","S61:Ferim do Punho e da Mao","45084","Com Cat Registrada"
"2001","Trajeto-Com Cat","S61:Ferim do Punho e da Mao","695","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S61:Ferim do Punho e da Mao","68","Com Cat Registrada"
"2001","Típico-Com Cat","S62:Frat ao Nivel do Punho e da Mao","21864","Com Cat Registrada"
"2001","Trajeto-Com Cat","S62:Frat ao Nivel do Punho e da Mao","2432","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S62:Frat ao Nivel do Punho e da Mao","63","Com Cat Registrada"
"2001","Típico-Com Cat","S60:Traum Superf do Punho e da Mao","13798","Com Cat Registrada"
"2001","Trajeto-Com Cat","S60:Traum Superf do Punho e da Mao","921","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S60:Traum Superf do Punho e da Mao","41","Com Cat Registrada"
"2001","Típico-Com Cat","S93:Luxac Entors Distens Artic Lig Niv Tornoz","9036","Com Cat Registrada"
"2001","Trajeto-Com Cat","S93:Luxac Entors Distens Artic Lig Niv Tornoz","2854","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S93:Luxac Entors Distens Artic Lig Niv Tornoz","45","Com Cat Registrada"
"2001","Típico-Com Cat","S92:Frat do Pe","8883","Com Cat Registrada"
"2001","Trajeto-Com Cat","S92:Frat do Pe","2035","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S92:Frat do Pe","24","Com Cat Registrada"
"2001","Típico-Com Cat","M65:Sinovite e Tenossinovite","4408","Com Cat Registrada"
"2001","Trajeto-Com Cat","M65:Sinovite e Tenossinovite","229","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","M65:Sinovite e Tenossinovite","5980","Com Cat Registrada"
"2001","Típico-Com Cat","S82:Frat da Perna Incl Tornozelo","6756","Com Cat Registrada"
"2001","Trajeto-Com Cat","S82:Frat da Perna Incl Tornozelo","3449","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S82:Frat da Perna Incl Tornozelo","28","Com Cat Registrada"
"2001","Típico-Com Cat","M54:Dorsalgia","8493","Com Cat Registrada"
"2001","Trajeto-Com Cat","M54:Dorsalgia","402","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","M54:Dorsalgia","870","Com Cat Registrada"
"2001","Típico-Com Cat","S52:Frat do Antebraco","6084","Com Cat Registrada"
"2001","Trajeto-Com Cat","S52:Frat do Antebraco","1867","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S52:Frat do Antebraco","24","Com Cat Registrada"
"2001","Típico-Com Cat","S01:Ferim da Cabeca","6435","Com Cat Registrada"
"2001","Trajeto-Com Cat","S01:Ferim da Cabeca","663","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S01:Ferim da Cabeca","9","Com Cat Registrada"
"2001","Típico-Com Cat","S83:Luxacao Entorse Distensao Art Lig Joelho","5773","Com Cat Registrada"
"2001","Trajeto-Com Cat","S83:Luxacao Entorse Distensao Art Lig Joelho","1142","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S83:Luxacao Entorse Distensao Art Lig Joelho","44","Com Cat Registrada"
"2001","Típico-Com Cat","S68:Amput Traum ao Nivel do Punho e da Mao","6766","Com Cat Registrada"
"2001","Trajeto-Com Cat","S68:Amput Traum ao Nivel do Punho e da Mao","102","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S68:Amput Traum ao Nivel do Punho e da Mao","14","Com Cat Registrada"
"2001","Típico-Com Cat","Z54:Convalescenca","5048","Com Cat Registrada"
"2001","Trajeto-Com Cat","Z54:Convalescenca","1072","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","Z54:Convalescenca","183","Com Cat Registrada"
"2001","Típico-Com Cat","S80:Traum Superf da Perna","4901","Com Cat Registrada"
"2001","Trajeto-Com Cat","S80:Traum Superf da Perna","1243","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S80:Traum Superf da Perna","14","Com Cat Registrada"
"2001","Típico-Com Cat","S90:Traum Superf do Tornozelo e do Pe","5420","Com Cat Registrada"
"2001","Trajeto-Com Cat","S90:Traum Superf do Tornozelo e do Pe","673","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S90:Traum Superf do Tornozelo e do Pe","12","Com Cat Registrada"
"2001","Típico-Com Cat","S81:Ferim da Perna","5403","Com Cat Registrada"
"2001","Trajeto-Com Cat","S81:Ferim da Perna","659","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S81:Ferim da Perna","12","Com Cat Registrada"
"2001","Típico-Com Cat","S91:Ferim do Tornozelo e do Pe","5467","Com Cat Registrada"
"2001","Trajeto-Com Cat","S91:Ferim do Tornozelo e do Pe","328","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S91:Ferim do Tornozelo e do Pe","10","Com Cat Registrada"
"2001","Típico-Com Cat","S63:Luxac Entors Distens Artic Lig Niv Punho","4729","Com Cat Registrada"
"2001","Trajeto-Com Cat","S63:Luxac Entors Distens Artic Lig Niv Punho","426","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S63:Luxac Entors Distens Artic Lig Niv Punho","55","Com Cat Registrada"
"2001","Típico-Com Cat","S42:Frat do Ombro e do Braco","2829","Com Cat Registrada"
"2001","Trajeto-Com Cat","S42:Frat do Ombro e do Braco","1857","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S42:Frat do Ombro e do Braco","17","Com Cat Registrada"
"2001","Típico-Com Cat","S50:Traum Superf do Cotovelo e do Antebraco","3518","Com Cat Registrada"
"2001","Trajeto-Com Cat","S50:Traum Superf do Cotovelo e do Antebraco","640","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S50:Traum Superf do Cotovelo e do Antebraco","20","Com Cat Registrada"
"2001","Típico-Com Cat","S51:Ferim do Antebraco","3432","Com Cat Registrada"
"2001","Trajeto-Com Cat","S51:Ferim do Antebraco","278","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S51:Ferim do Antebraco","9","Com Cat Registrada"
"2001","Típico-Com Cat","T15:Corpo Estranho na Parte Externa do Olho","3295","Com Cat Registrada"
"2001","Trajeto-Com Cat","T15:Corpo Estranho na Parte Externa do Olho","63","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","T15:Corpo Estranho na Parte Externa do Olho","4","Com Cat Registrada"
"2001","Típico-Com Cat","S40:Traum Superf do Ombro e do Braco","2171","Com Cat Registrada"
"2001","Trajeto-Com Cat","S40:Traum Superf do Ombro e do Braco","531","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S40:Traum Superf do Ombro e do Braco","32","Com Cat Registrada"
"2001","Típico-Com Cat","S43:Luxacao Entorse Distens Artic Lig Cint Es","2066","Com Cat Registrada"
"2001","Trajeto-Com Cat","S43:Luxacao Entorse Distens Artic Lig Cint Es","573","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S43:Luxacao Entorse Distens Artic Lig Cint Es","55","Com Cat Registrada"
"2001","Típico-Com Cat","M75:Lesoes do Ombro","974","Com Cat Registrada"
"2001","Trajeto-Com Cat","M75:Lesoes do Ombro","77","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","M75:Lesoes do Ombro","1327","Com Cat Registrada"
"2001","Típico-Com Cat","T14:Traum de Regiao Ne do Corpo","2120","Com Cat Registrada"
"2001","Trajeto-Com Cat","T14:Traum de Regiao Ne do Corpo","254","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","T14:Traum de Regiao Ne do Corpo","2","Com Cat Registrada"
"2001","Típico-Com Cat","S20:Traum Superf do Torax","1940","Com Cat Registrada"
"2001","Trajeto-Com Cat","S20:Traum Superf do Torax","382","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S20:Traum Superf do Torax","3","Com Cat Registrada"
"2001","Típico-Com Cat","T98:Sequelas Outr Efeitos Causas Externas e N","1851","Com Cat Registrada"
"2001","Trajeto-Com Cat","T98:Sequelas Outr Efeitos Causas Externas e N","347","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","T98:Sequelas Outr Efeitos Causas Externas e N","63","Com Cat Registrada"
"2001","Típico-Com Cat","T23:Queim e Corrosao do Punho e da Mao","2191","Com Cat Registrada"
"2001","Trajeto-Com Cat","T23:Queim e Corrosao do Punho e da Mao","19","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","T23:Queim e Corrosao do Punho e da Mao","6","Com Cat Registrada"
"2001","Típico-Com Cat","S06:Traum Intracraniano","1390","Com Cat Registrada"
"2001","Trajeto-Com Cat","S06:Traum Intracraniano","764","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S06:Traum Intracraniano","11","Com Cat Registrada"
"2001","Típico-Com Cat","H90:Perda Audicao Transt Conducao Neuro-Sens","539","Com Cat Registrada"
"2001","Trajeto-Com Cat","H90:Perda Audicao Transt Conducao Neuro-Sens","7","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","H90:Perda Audicao Transt Conducao Neuro-Sens","1565","Com Cat Registrada"
"2001","Típico-Com Cat","S00:Traum Superf da Cabeca","1779","Com Cat Registrada"
"2001","Trajeto-Com Cat","S00:Traum Superf da Cabeca","307","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S00:Traum Superf da Cabeca","5","Com Cat Registrada"
"2001","Típico-Com Cat","S05:Traum do Olho e da Orbita Ocular","1975","Com Cat Registrada"
"2001","Trajeto-Com Cat","S05:Traum do Olho e da Orbita Ocular","76","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S05:Traum do Olho e da Orbita Ocular","1","Com Cat Registrada"
"2001","Típico-Com Cat","H83:Outr Transt do Ouvido Interno","435","Com Cat Registrada"
"2001","Trajeto-Com Cat","H83:Outr Transt do Ouvido Interno","8","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","H83:Outr Transt do Ouvido Interno","1572","Com Cat Registrada"
"2001","Típico-Com Cat","S32:Frat da Coluna Lombar e da Pelve","1443","Com Cat Registrada"
"2001","Trajeto-Com Cat","S32:Frat da Coluna Lombar e da Pelve","437","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S32:Frat da Coluna Lombar e da Pelve","11","Com Cat Registrada"
"2001","Típico-Com Cat","S72:Frat do Femur","1089","Com Cat Registrada"
"2001","Trajeto-Com Cat","S72:Frat do Femur","759","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S72:Frat do Femur","8","Com Cat Registrada"
"2001","Típico-Com Cat","S67:Lesao p/Esmag do Punho e da Mao","1793","Com Cat Registrada"
"2001","Trajeto-Com Cat","S67:Lesao p/Esmag do Punho e da Mao","36","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S67:Lesao p/Esmag do Punho e da Mao","5","Com Cat Registrada"
"2001","Típico-Com Cat","S22:Frat de Costelas Esterno e Coluna Toracic","1517","Com Cat Registrada"
"2001","Trajeto-Com Cat","S22:Frat de Costelas Esterno e Coluna Toracic","306","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S22:Frat de Costelas Esterno e Coluna Toracic","3","Com Cat Registrada"
"2001","Típico-Com Cat","S30:Traum Superf do Abdome do Dorso e da Pelv","1621","Com Cat Registrada"
"2001","Trajeto-Com Cat","S30:Traum Superf do Abdome do Dorso e da Pelv","189","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S30:Traum Superf do Abdome do Dorso e da Pelv","15","Com Cat Registrada"
"2001","Típico-Com Cat","S70:Traum Superf do Quadril e da Coxa","1523","Com Cat Registrada"
"2001","Trajeto-Com Cat","S70:Traum Superf do Quadril e da Coxa","269","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S70:Traum Superf do Quadril e da Coxa","5","Com Cat Registrada"
"2001","Típico-Com Cat","S33:Luxac Entors Dist Artic Lig Col Lombar Pe","1634","Com Cat Registrada"
"2001","Trajeto-Com Cat","S33:Luxac Entors Dist Artic Lig Col Lombar Pe","107","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S33:Luxac Entors Dist Artic Lig Col Lombar Pe","29","Com Cat Registrada"
"2001","Típico-Com Cat","S66:Traum de Musculo e Tendao Nivel Punho e M","1663","Com Cat Registrada"
"2001","Trajeto-Com Cat","S66:Traum de Musculo e Tendao Nivel Punho e M","78","Com Cat Registrada"
"2001","Doença do Trabalho-Com Cat","S66:Traum de Musculo e Tendao Nivel Punho e M","17","Com Cat Registrada"
