"Ano","CNAE","Motivo","Qte Acidentes Registrados","Situação","GrupoCnae","GrCnaeLetra"
"1997","Cultivo de Hortaliças/Legumes e Especiarias A","Típico-Com Cat","30","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Hortaliças/Legumes e Especiarias A","Trajeto-Com Cat","3","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Hortaliças/Legumes e Especiarias A","Doença do Trabalho-Com Cat","0","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Flores e Plantas Ornamentais","Típico-Com Cat","42","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Flores e Plantas Ornamentais","Trajeto-Com Cat","6","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Flores e Plantas Ornamentais","Doença do Trabalho-Com Cat","8","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Frutas Cítricas","Típico-Com Cat","313","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Frutas Cítricas","Trajeto-Com Cat","30","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Frutas Cítricas","Doença do Trabalho-Com Cat","4","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Café","Típico-Com Cat","308","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Café","Trajeto-Com Cat","14","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Café","Doença do Trabalho-Com Cat","2","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Cacau","Típico-Com Cat","33","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Cacau","Trajeto-Com Cat","1","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Cacau","Doença do Trabalho-Com Cat","3","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Uva","Típico-Com Cat","27","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Uva","Trajeto-Com Cat","1","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Uva","Doença do Trabalho-Com Cat","2","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Outras Frutas/Fr.Secos/Plantas p/P","Típico-Com Cat","340","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Outras Frutas/Fr.Secos/Plantas p/P","Trajeto-Com Cat","38","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Outras Frutas/Fr.Secos/Plantas p/P","Doença do Trabalho-Com Cat","1","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Criação de Bovinos","Típico-Com Cat","1107","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Criação de Bovinos","Trajeto-Com Cat","49","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Criação de Bovinos","Doença do Trabalho-Com Cat","6","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Criação de Outros Animais de Grande Porte","Típico-Com Cat","26","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Criação de Outros Animais de Grande Porte","Trajeto-Com Cat","5","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Criação de Outros Animais de Grande Porte","Doença do Trabalho-Com Cat","0","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Criação de Ovinos","Típico-Com Cat","45","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Criação de Ovinos","Trajeto-Com Cat","1","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Criação de Ovinos","Doença do Trabalho-Com Cat","7","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Criação de Suínos","Típico-Com Cat","91","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Criação de Suínos","Trajeto-Com Cat","1","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Criação de Suínos","Doença do Trabalho-Com Cat","0","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Criação de Aves","Típico-Com Cat","796","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Criação de Aves","Trajeto-Com Cat","66","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Criação de Aves","Doença do Trabalho-Com Cat","30","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Criação de Outros Animais","Típico-Com Cat","50","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Criação de Outros Animais","Trajeto-Com Cat","2","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Criação de Outros Animais","Doença do Trabalho-Com Cat","0","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Produção Mista: Lavoura e Pecuária","Típico-Com Cat","1122","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Produção Mista: Lavoura e Pecuária","Trajeto-Com Cat","32","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Produção Mista: Lavoura e Pecuária","Doença do Trabalho-Com Cat","11","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Atividades de Serviços Relacionados com a Agr","Típico-Com Cat","10505","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Atividades de Serviços Relacionados com a Agr","Trajeto-Com Cat","403","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Atividades de Serviços Relacionados com a Agr","Doença do Trabalho-Com Cat","131","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Ativ. de Serviços Relacionados com a Pecuária","Típico-Com Cat","78","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Ativ. de Serviços Relacionados com a Pecuária","Trajeto-Com Cat","3","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Ativ. de Serviços Relacionados com a Pecuária","Doença do Trabalho-Com Cat","5","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Silvicultura","Típico-Com Cat","1021","Com Cat Registrada","Silvicultura, expl.florestal e serviços rel.","Agric., pec.,silvicultura e exploração florest"
"1997","Silvicultura","Trajeto-Com Cat","100","Com Cat Registrada","Silvicultura, expl.florestal e serviços rel.","Agric., pec.,silvicultura e exploração florest"
"1997","Silvicultura","Doença do Trabalho-Com Cat","17","Com Cat Registrada","Silvicultura, expl.florestal e serviços rel.","Agric., pec.,silvicultura e exploração florest"
"1997","Exploração Florestal","Típico-Com Cat","495","Com Cat Registrada","Silvicultura, expl.florestal e serviços rel.","Agric., pec.,silvicultura e exploração florest"
"1997","Exploração Florestal","Trajeto-Com Cat","28","Com Cat Registrada","Silvicultura, expl.florestal e serviços rel.","Agric., pec.,silvicultura e exploração florest"
"1997","Exploração Florestal","Doença do Trabalho-Com Cat","0","Com Cat Registrada","Silvicultura, expl.florestal e serviços rel.","Agric., pec.,silvicultura e exploração florest"
"1997","Atividades dos Serviços Relacionados com a Si","Típico-Com Cat","188","Com Cat Registrada","Silvicultura, expl.florestal e serviços rel.","Agric., pec.,silvicultura e exploração florest"
"1997","Atividades dos Serviços Relacionados com a Si","Trajeto-Com Cat","10","Com Cat Registrada","Silvicultura, expl.florestal e serviços rel.","Agric., pec.,silvicultura e exploração florest"
"1997","Atividades dos Serviços Relacionados com a Si","Doença do Trabalho-Com Cat","4","Com Cat Registrada","Silvicultura, expl.florestal e serviços rel.","Agric., pec.,silvicultura e exploração florest"
"1997","Pesca","Típico-Com Cat","68","Com Cat Registrada","Pesca, aquicultura e ativ. serviços relac.","Pesca, aquicultura e ativ. serviços relac."
"1997","Pesca","Trajeto-Com Cat","9","Com Cat Registrada","Pesca, aquicultura e ativ. serviços relac.","Pesca, aquicultura e ativ. serviços relac."
"1997","Pesca","Doença do Trabalho-Com Cat","3","Com Cat Registrada","Pesca, aquicultura e ativ. serviços relac.","Pesca, aquicultura e ativ. serviços relac."
"1997","Aquicultura","Típico-Com Cat","50","Com Cat Registrada","Pesca, aquicultura e ativ. serviços relac.","Pesca, aquicultura e ativ. serviços relac."
"1997","Aquicultura","Trajeto-Com Cat","6","Com Cat Registrada","Pesca, aquicultura e ativ. serviços relac.","Pesca, aquicultura e ativ. serviços relac."
"1997","Aquicultura","Doença do Trabalho-Com Cat","5","Com Cat Registrada","Pesca, aquicultura e ativ. serviços relac.","Pesca, aquicultura e ativ. serviços relac."
"1997","Extracao de Carvão Mineral","Típico-Com Cat","302","Com Cat Registrada","Extração de carvão mineral","Industrias Extrativas"
"1997","Extracao de Carvão Mineral","Trajeto-Com Cat","12","Com Cat Registrada","Extração de carvão mineral","Industrias Extrativas"
"1997","Extracao de Carvão Mineral","Doença do Trabalho-Com Cat","26","Com Cat Registrada","Extração de carvão mineral","Industrias Extrativas"
"1997","Extração de Petróleo e Gás Natural","Típico-Com Cat","705","Com Cat Registrada","Extração de petróleo e serviços correlatos","Industrias Extrativas"
"1997","Extração de Petróleo e Gás Natural","Trajeto-Com Cat","32","Com Cat Registrada","Extração de petróleo e serviços correlatos","Industrias Extrativas"
"1997","Extração de Petróleo e Gás Natural","Doença do Trabalho-Com Cat","27","Com Cat Registrada","Extração de petróleo e serviços correlatos","Industrias Extrativas"
"1997","Serv. Relac c/Extração de Petróleo e Gás-Exce","Típico-Com Cat","82","Com Cat Registrada","Extração de petróleo e serviços correlatos","Industrias Extrativas"
"1997","Serv. Relac c/Extração de Petróleo e Gás-Exce","Trajeto-Com Cat","4","Com Cat Registrada","Extração de petróleo e serviços correlatos","Industrias Extrativas"
"1997","Serv. Relac c/Extração de Petróleo e Gás-Exce","Doença do Trabalho-Com Cat","1","Com Cat Registrada","Extração de petróleo e serviços correlatos","Industrias Extrativas"
"1997","Extração de Minério de Ferro","Típico-Com Cat","602","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Minério de Ferro","Trajeto-Com Cat","35","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Minério de Ferro","Doença do Trabalho-Com Cat","179","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Minério de Alumínio","Típico-Com Cat","44","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Minério de Alumínio","Trajeto-Com Cat","2","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Minério de Alumínio","Doença do Trabalho-Com Cat","4","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Minério de Estanho","Típico-Com Cat","14","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Minério de Estanho","Trajeto-Com Cat","0","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Minério de Estanho","Doença do Trabalho-Com Cat","0","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Minério de Manganês","Típico-Com Cat","3","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Minério de Manganês","Trajeto-Com Cat","0","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Minério de Manganês","Doença do Trabalho-Com Cat","0","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Minério de Metais Preciosos","Típico-Com Cat","273","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Minério de Metais Preciosos","Trajeto-Com Cat","9","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Minério de Metais Preciosos","Doença do Trabalho-Com Cat","80","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Minerais Radioativos","Típico-Com Cat","6","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Minerais Radioativos","Trajeto-Com Cat","0","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Minerais Radioativos","Doença do Trabalho-Com Cat","0","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Outros Minerais Metálicos Não-Fer","Típico-Com Cat","150","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Outros Minerais Metálicos Não-Fer","Trajeto-Com Cat","2","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Outros Minerais Metálicos Não-Fer","Doença do Trabalho-Com Cat","3","Com Cat Registrada","Extração de minerais metálicos","Industrias Extrativas"
"1997","Extração de Pedra/Areia e Argila","Típico-Com Cat","924","Com Cat Registrada","Extração de minerais não metálicos","Industrias Extrativas"
"1997","Extração de Pedra/Areia e Argila","Trajeto-Com Cat","39","Com Cat Registrada","Extração de minerais não metálicos","Industrias Extrativas"
"1997","Extração de Pedra/Areia e Argila","Doença do Trabalho-Com Cat","88","Com Cat Registrada","Extração de minerais não metálicos","Industrias Extrativas"
"1997","Extração Minerais p/Fabric. de Adubos/ Fertil","Típico-Com Cat","348","Com Cat Registrada","Extração de minerais não metálicos","Industrias Extrativas"
"1997","Extração Minerais p/Fabric. de Adubos/ Fertil","Trajeto-Com Cat","40","Com Cat Registrada","Extração de minerais não metálicos","Industrias Extrativas"
"1997","Extração Minerais p/Fabric. de Adubos/ Fertil","Doença do Trabalho-Com Cat","8","Com Cat Registrada","Extração de minerais não metálicos","Industrias Extrativas"
"1997","Extração e Refino de Sal Marinho e Sal-Gema","Típico-Com Cat","138","Com Cat Registrada","Extração de minerais não metálicos","Industrias Extrativas"
"1997","Extração e Refino de Sal Marinho e Sal-Gema","Trajeto-Com Cat","11","Com Cat Registrada","Extração de minerais não metálicos","Industrias Extrativas"
"1997","Extração e Refino de Sal Marinho e Sal-Gema","Doença do Trabalho-Com Cat","3","Com Cat Registrada","Extração de minerais não metálicos","Industrias Extrativas"
"1997","Extração de Outros Minerais Não-Metálicos","Típico-Com Cat","426","Com Cat Registrada","Extração de minerais não metálicos","Industrias Extrativas"
"1997","Extração de Outros Minerais Não-Metálicos","Trajeto-Com Cat","26","Com Cat Registrada","Extração de minerais não metálicos","Industrias Extrativas"
"1997","Extração de Outros Minerais Não-Metálicos","Doença do Trabalho-Com Cat","68","Com Cat Registrada","Extração de minerais não metálicos","Industrias Extrativas"
"1997","Abate de Reses/Preparação de Produtos de Carn","Típico-Com Cat","3602","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Abate de Reses/Preparação de Produtos de Carn","Trajeto-Com Cat","140","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Abate de Reses/Preparação de Produtos de Carn","Doença do Trabalho-Com Cat","135","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Abate de Aves e Outros Pequenos Animais e Pre","Típico-Com Cat","1576","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Abate de Aves e Outros Pequenos Animais e Pre","Trajeto-Com Cat","147","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Abate de Aves e Outros Pequenos Animais e Pre","Doença do Trabalho-Com Cat","251","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Prepar. de Carne/Banha e Produtos de Salsicha","Típico-Com Cat","933","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Prepar. de Carne/Banha e Produtos de Salsicha","Trajeto-Com Cat","57","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Prepar. de Carne/Banha e Produtos de Salsicha","Doença do Trabalho-Com Cat","53","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Prep. e Preserv. do Pescado e Fabr. de Conser","Típico-Com Cat","217","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Prep. e Preserv. do Pescado e Fabr. de Conser","Trajeto-Com Cat","27","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Prep. e Preserv. do Pescado e Fabr. de Conser","Doença do Trabalho-Com Cat","6","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Processamento/Preservação e Produção de Conse","Típico-Com Cat","193","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Processamento/Preservação e Produção de Conse","Trajeto-Com Cat","11","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Processamento/Preservação e Produção de Conse","Doença do Trabalho-Com Cat","21","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Processam./Preservac. e Prod. de Conservas De","Típico-Com Cat","222","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Processam./Preservac. e Prod. de Conservas De","Trajeto-Com Cat","31","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Processam./Preservac. e Prod. de Conservas De","Doença do Trabalho-Com Cat","14","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Produção de Sucos de Frutas e de Legumes","Típico-Com Cat","290","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Produção de Sucos de Frutas e de Legumes","Trajeto-Com Cat","20","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Produção de Sucos de Frutas e de Legumes","Doença do Trabalho-Com Cat","4","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Produção de óleos Vegetais em Bruto","Típico-Com Cat","281","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Produção de óleos Vegetais em Bruto","Trajeto-Com Cat","16","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Produção de óleos Vegetais em Bruto","Doença do Trabalho-Com Cat","23","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Refino de óleos Vegetais","Típico-Com Cat","136","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Refino de óleos Vegetais","Trajeto-Com Cat","7","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Refino de óleos Vegetais","Doença do Trabalho-Com Cat","2","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Prep. Margarina e Outras Gorduras Vegetais e","Típico-Com Cat","85","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Prep. Margarina e Outras Gorduras Vegetais e","Trajeto-Com Cat","3","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Prep. Margarina e Outras Gorduras Vegetais e","Doença do Trabalho-Com Cat","2","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Preparação do Leite","Típico-Com Cat","169","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Preparação do Leite","Trajeto-Com Cat","12","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Preparação do Leite","Doença do Trabalho-Com Cat","12","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Fabricação de Produtos do Laticínio","Típico-Com Cat","1085","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Fabricação de Produtos do Laticínio","Trajeto-Com Cat","94","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Fabricação de Produtos do Laticínio","Doença do Trabalho-Com Cat","58","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Fabricação de Sorvetes","Típico-Com Cat","132","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Fabricação de Sorvetes","Trajeto-Com Cat","20","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Fabricação de Sorvetes","Doença do Trabalho-Com Cat","13","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Beneficiamento de Arroz e Fabricação de Produ","Típico-Com Cat","338","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Beneficiamento de Arroz e Fabricação de Produ","Trajeto-Com Cat","17","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Beneficiamento de Arroz e Fabricação de Produ","Doença do Trabalho-Com Cat","3","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Moagem de Trigo e Fabricação de Derivados","Típico-Com Cat","451","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Moagem de Trigo e Fabricação de Derivados","Trajeto-Com Cat","33","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Moagem de Trigo e Fabricação de Derivados","Doença do Trabalho-Com Cat","48","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Fabricação de Farinha de Mandioca e Derivados","Típico-Com Cat","137","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Fabricação de Farinha de Mandioca e Derivados","Trajeto-Com Cat","5","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Fabricação de Farinha de Mandioca e Derivados","Doença do Trabalho-Com Cat","0","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Fabricação de Fubá e Farinha de Milho","Típico-Com Cat","36","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Fabricação de Fubá e Farinha de Milho","Trajeto-Com Cat","7","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Fabricação de Fubá e Farinha de Milho","Doença do Trabalho-Com Cat","2","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Fabricação de Amidos e Fécula de Vegetais e F","Típico-Com Cat","39","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Fabricação de Amidos e Fécula de Vegetais e F","Trajeto-Com Cat","0","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Fabricação de Amidos e Fécula de Vegetais e F","Doença do Trabalho-Com Cat","14","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
"1997","Fabricação de Rações Balanceadas para Animais","Típico-Com Cat","503","Com Cat Registrada","Fabricação de produtos alimetícios e bebidas","Industrias de Transformação"
