"Ano","CBO","Motivo/Situação","Qte Acidentes","Situacao"
"2004","Joalheiros, Vidreiros, Ceramistas e Afins","Doença do Trabalho-Com Cat","128","Com Cat Registrada"
"2004","Trabalhadores nas Indústrias Têxtil, do Curti","Típico-Com Cat","11436","Com Cat Registrada"
"2004","Trabalhadores nas Indústrias Têxtil, do Curti","Trajeto-Com Cat","2273","Com Cat Registrada"
"2004","Trabalhadores nas Indústrias Têxtil, do Curti","Doença do Trabalho-Com Cat","1707","Com Cat Registrada"
"2004","Trabalhadores das Indústrias de Madeira e do","Típico-Com Cat","8632","Com Cat Registrada"
"2004","Trabalhadores das Indústrias de Madeira e do","Trajeto-Com Cat","556","Com Cat Registrada"
"2004","Trabalhadores das Indústrias de Madeira e do","Doença do Trabalho-Com Cat","289","Com Cat Registrada"
"2004","Trabalhadores de Funções Transversais","Típico-Com Cat","43717","Com Cat Registrada"
"2004","Trabalhadores de Funções Transversais","Trajeto-Com Cat","6420","Com Cat Registrada"
"2004","Trabalhadores de Funções Transversais","Doença do Trabalho-Com Cat","3254","Com Cat Registrada"
"2004","Trabalhadores em Indústrias de Processos Cont","Típico-Com Cat","5618","Com Cat Registrada"
"2004","Trabalhadores em Indústrias de Processos Cont","Trajeto-Com Cat","585","Com Cat Registrada"
"2004","Trabalhadores em Indústrias de Processos Cont","Doença do Trabalho-Com Cat","527","Com Cat Registrada"
"2004","Trabalhadores de Instalações Siderúrgicas e D","Típico-Com Cat","5013","Com Cat Registrada"
"2004","Trabalhadores de Instalações Siderúrgicas e D","Trajeto-Com Cat","350","Com Cat Registrada"
"2004","Trabalhadores de Instalações Siderúrgicas e D","Doença do Trabalho-Com Cat","504","Com Cat Registrada"
"2004","Trabalhadores de Instalações e Máquinas de Fa","Típico-Com Cat","1261","Com Cat Registrada"
"2004","Trabalhadores de Instalações e Máquinas de Fa","Trajeto-Com Cat","81","Com Cat Registrada"
"2004","Trabalhadores de Instalações e Máquinas de Fa","Doença do Trabalho-Com Cat","63","Com Cat Registrada"
"2004","Trabalhadores da Fabricação de Alimentos, Beb","Típico-Com Cat","15112","Com Cat Registrada"
"2004","Trabalhadores da Fabricação de Alimentos, Beb","Trajeto-Com Cat","1338","Com Cat Registrada"
"2004","Trabalhadores da Fabricação de Alimentos, Beb","Doença do Trabalho-Com Cat","933","Com Cat Registrada"
"2004","Operadores de Produção, Captação, Tratamento","Típico-Com Cat","6267","Com Cat Registrada"
"2004","Operadores de Produção, Captação, Tratamento","Trajeto-Com Cat","608","Com Cat Registrada"
"2004","Operadores de Produção, Captação, Tratamento","Doença do Trabalho-Com Cat","561","Com Cat Registrada"
"2004","Operadores de Outras Instalações Industriais","Típico-Com Cat","2","Com Cat Registrada"
"2004","Operadores de Outras Instalações Industriais","Trajeto-Com Cat","0","Com Cat Registrada"
"2004","Operadores de Outras Instalações Industriais","Doença do Trabalho-Com Cat","0","Com Cat Registrada"
"2004","Trabalhadores em Serviços de Reparação e Manu","Típico-Com Cat","11297","Com Cat Registrada"
"2004","Trabalhadores em Serviços de Reparação e Manu","Trajeto-Com Cat","940","Com Cat Registrada"
"2004","Trabalhadores em Serviços de Reparação e Manu","Doença do Trabalho-Com Cat","537","Com Cat Registrada"
"2004","Polimantenedores","Típico-Com Cat","2522","Com Cat Registrada"
"2004","Polimantenedores","Trajeto-Com Cat","360","Com Cat Registrada"
"2004","Polimantenedores","Doença do Trabalho-Com Cat","116","Com Cat Registrada"
"2004","Outros Trabalhadores da Conservação, Manutenç","Típico-Com Cat","8987","Com Cat Registrada"
"2004","Outros Trabalhadores da Conservação, Manutenç","Trajeto-Com Cat","1186","Com Cat Registrada"
"2004","Outros Trabalhadores da Conservação, Manutenç","Doença do Trabalho-Com Cat","506","Com Cat Registrada"
"2004","Ignorado","Típico-Com Cat","24829","Com Cat Registrada"
"2004","Ignorado","Trajeto-Com Cat","3188","Com Cat Registrada"
"2004","Ignorado","Doença do Trabalho-Com Cat","1411","Com Cat Registrada"
"2005","Ignorado","Típico-Com Cat","4703","Com Cat Registrada"
"2005","Ignorado","Doença do Trabalho-Com Cat","340","Com Cat Registrada"
"2005","Ignorado","Trajeto-Com Cat","805","Com Cat Registrada"
"2005","Membros das Forças Armadas","Típico-Com Cat","71","Com Cat Registrada"
"2005","Membros das Forças Armadas","Doença do Trabalho-Com Cat","3","Com Cat Registrada"
"2005","Membros das Forças Armadas","Trajeto-Com Cat","19","Com Cat Registrada"
"2005","Policiais Militares","Típico-Com Cat","43","Com Cat Registrada"
"2005","Policiais Militares","Doença do Trabalho-Com Cat","9","Com Cat Registrada"
"2005","Policiais Militares","Trajeto-Com Cat","10","Com Cat Registrada"
"2005","Bombeiros Militares","Típico-Com Cat","181","Com Cat Registrada"
"2005","Bombeiros Militares","Doença do Trabalho-Com Cat","27","Com Cat Registrada"
"2005","Bombeiros Militares","Trajeto-Com Cat","47","Com Cat Registrada"
"2005","Membros Superiores e Dirigentes do Poder Públ","Típico-Com Cat","157","Com Cat Registrada"
"2005","Membros Superiores e Dirigentes do Poder Públ","Doença do Trabalho-Com Cat","12","Com Cat Registrada"
"2005","Membros Superiores e Dirigentes do Poder Públ","Trajeto-Com Cat","51","Com Cat Registrada"
"2005","Dirigentes de Empresas e Organizações (Exceto","Típico-Com Cat","110","Com Cat Registrada"
"2005","Dirigentes de Empresas e Organizações (Exceto","Doença do Trabalho-Com Cat","19","Com Cat Registrada"
"2005","Dirigentes de Empresas e Organizações (Exceto","Trajeto-Com Cat","33","Com Cat Registrada"
"2005","Diretores e Gerentes em Empresa de Serviços D","Típico-Com Cat","70","Com Cat Registrada"
"2005","Diretores e Gerentes em Empresa de Serviços D","Doença do Trabalho-Com Cat","2","Com Cat Registrada"
"2005","Diretores e Gerentes em Empresa de Serviços D","Trajeto-Com Cat","23","Com Cat Registrada"
"2005","Gerentes","Típico-Com Cat","2384","Com Cat Registrada"
"2005","Gerentes","Doença do Trabalho-Com Cat","771","Com Cat Registrada"
"2005","Gerentes","Trajeto-Com Cat","877","Com Cat Registrada"
"2005","Pesquisadores e Profissionais Policientíficos","Típico-Com Cat","48","Com Cat Registrada"
"2005","Pesquisadores e Profissionais Policientíficos","Doença do Trabalho-Com Cat","2","Com Cat Registrada"
"2005","Pesquisadores e Profissionais Policientíficos","Trajeto-Com Cat","19","Com Cat Registrada"
"2005","Profissionais das Ciências Exatas, Físicas e","Típico-Com Cat","952","Com Cat Registrada"
"2005","Profissionais das Ciências Exatas, Físicas e","Doença do Trabalho-Com Cat","180","Com Cat Registrada"
"2005","Profissionais das Ciências Exatas, Físicas e","Trajeto-Com Cat","462","Com Cat Registrada"
"2005","Profissionais das Ciências Biológicas, da Saú","Típico-Com Cat","3417","Com Cat Registrada"
"2005","Profissionais das Ciências Biológicas, da Saú","Doença do Trabalho-Com Cat","100","Com Cat Registrada"
"2005","Profissionais das Ciências Biológicas, da Saú","Trajeto-Com Cat","631","Com Cat Registrada"
"2005","Profissionais do Ensino","Típico-Com Cat","1058","Com Cat Registrada"
"2005","Profissionais do Ensino","Doença do Trabalho-Com Cat","226","Com Cat Registrada"
"2005","Profissionais do Ensino","Trajeto-Com Cat","471","Com Cat Registrada"
"2005","Profissionais das Ciências Jurídicas","Típico-Com Cat","73","Com Cat Registrada"
"2005","Profissionais das Ciências Jurídicas","Doença do Trabalho-Com Cat","18","Com Cat Registrada"
"2005","Profissionais das Ciências Jurídicas","Trajeto-Com Cat","43","Com Cat Registrada"
"2005","Profissionais das Ciências Sociais e Humanas","Típico-Com Cat","1916","Com Cat Registrada"
"2005","Profissionais das Ciências Sociais e Humanas","Doença do Trabalho-Com Cat","588","Com Cat Registrada"
"2005","Profissionais das Ciências Sociais e Humanas","Trajeto-Com Cat","844","Com Cat Registrada"
"2005","Comunicadores, Artistas e Religiosos","Típico-Com Cat","365","Com Cat Registrada"
"2005","Comunicadores, Artistas e Religiosos","Doença do Trabalho-Com Cat","80","Com Cat Registrada"
"2005","Comunicadores, Artistas e Religiosos","Trajeto-Com Cat","166","Com Cat Registrada"
"2005","Técnicos Polivalentes","Típico-Com Cat","447","Com Cat Registrada"
"2005","Técnicos Polivalentes","Doença do Trabalho-Com Cat","30","Com Cat Registrada"
"2005","Técnicos Polivalentes","Trajeto-Com Cat","82","Com Cat Registrada"
"2005","Técnicos de Nível Médio das Ciências Físicas,","Típico-Com Cat","5304","Com Cat Registrada"
"2005","Técnicos de Nível Médio das Ciências Físicas,","Doença do Trabalho-Com Cat","470","Com Cat Registrada"
"2005","Técnicos de Nível Médio das Ciências Físicas,","Trajeto-Com Cat","1184","Com Cat Registrada"
"2005","Técnicos de Nível Médio das Ciências Biológic","Típico-Com Cat","18848","Com Cat Registrada"
"2005","Técnicos de Nível Médio das Ciências Biológic","Doença do Trabalho-Com Cat","396","Com Cat Registrada"
"2005","Técnicos de Nível Médio das Ciências Biológic","Trajeto-Com Cat","2636","Com Cat Registrada"
"2005","Professores Leigos e de Nível Médio","Típico-Com Cat","609","Com Cat Registrada"
"2005","Professores Leigos e de Nível Médio","Doença do Trabalho-Com Cat","88","Com Cat Registrada"
"2005","Professores Leigos e de Nível Médio","Trajeto-Com Cat","286","Com Cat Registrada"
"2005","Técnicos de Nível Médio em Serviços de Transp","Típico-Com Cat","1284","Com Cat Registrada"
"2005","Técnicos de Nível Médio em Serviços de Transp","Doença do Trabalho-Com Cat","142","Com Cat Registrada"
"2005","Técnicos de Nível Médio em Serviços de Transp","Trajeto-Com Cat","212","Com Cat Registrada"
"2005","Técnicos de Nivel Médio nas Ciências Administ","Típico-Com Cat","2538","Com Cat Registrada"
"2005","Técnicos de Nivel Médio nas Ciências Administ","Doença do Trabalho-Com Cat","680","Com Cat Registrada"
"2005","Técnicos de Nivel Médio nas Ciências Administ","Trajeto-Com Cat","1292","Com Cat Registrada"
"2005","Técnicos em Nivel Médio dos Serviços Culturai","Típico-Com Cat","839","Com Cat Registrada"
"2005","Técnicos em Nivel Médio dos Serviços Culturai","Doença do Trabalho-Com Cat","93","Com Cat Registrada"
"2005","Técnicos em Nivel Médio dos Serviços Culturai","Trajeto-Com Cat","200","Com Cat Registrada"
"2005","Outros Técnicos de Nível Médio","Típico-Com Cat","1975","Com Cat Registrada"
"2005","Outros Técnicos de Nível Médio","Doença do Trabalho-Com Cat","262","Com Cat Registrada"
"2005","Outros Técnicos de Nível Médio","Trajeto-Com Cat","405","Com Cat Registrada"
"2005","Escriturários","Típico-Com Cat","23496","Com Cat Registrada"
"2005","Escriturários","Doença do Trabalho-Com Cat","4741","Com Cat Registrada"
"2005","Escriturários","Trajeto-Com Cat","8454","Com Cat Registrada"
"2005","Trabalhadores de Atendimento ao Público","Típico-Com Cat","4598","Com Cat Registrada"
"2005","Trabalhadores de Atendimento ao Público","Doença do Trabalho-Com Cat","2547","Com Cat Registrada"
"2005","Trabalhadores de Atendimento ao Público","Trajeto-Com Cat","3330","Com Cat Registrada"
"2005","Trabalhadores dos Serviços","Típico-Com Cat","48754","Com Cat Registrada"
"2005","Trabalhadores dos Serviços","Doença do Trabalho-Com Cat","3751","Com Cat Registrada"
"2005","Trabalhadores dos Serviços","Trajeto-Com Cat","13104","Com Cat Registrada"
"2005","Vendedores e Prestadores de Serviços do Comér","Típico-Com Cat","9481","Com Cat Registrada"
"2005","Vendedores e Prestadores de Serviços do Comér","Doença do Trabalho-Com Cat","777","Com Cat Registrada"
"2005","Vendedores e Prestadores de Serviços do Comér","Trajeto-Com Cat","4402","Com Cat Registrada"
"2005","Produtores na Exploração Agropecuária","Típico-Com Cat","2359","Com Cat Registrada"
"2005","Produtores na Exploração Agropecuária","Doença do Trabalho-Com Cat","16","Com Cat Registrada"
"2005","Produtores na Exploração Agropecuária","Trajeto-Com Cat","146","Com Cat Registrada"
"2005","Trabalhadores na Exploração Agropecuária","Típico-Com Cat","39503","Com Cat Registrada"
"2005","Trabalhadores na Exploração Agropecuária","Doença do Trabalho-Com Cat","452","Com Cat Registrada"
"2005","Trabalhadores na Exploração Agropecuária","Trajeto-Com Cat","2301","Com Cat Registrada"
"2005","Pescadores e Extrativistas Florestais","Típico-Com Cat","4045","Com Cat Registrada"
"2005","Pescadores e Extrativistas Florestais","Doença do Trabalho-Com Cat","99","Com Cat Registrada"
"2005","Pescadores e Extrativistas Florestais","Trajeto-Com Cat","303","Com Cat Registrada"
"2005","Trabalhadores da Mecanização Agropecuária e F","Típico-Com Cat","2484","Com Cat Registrada"
"2005","Trabalhadores da Mecanização Agropecuária e F","Doença do Trabalho-Com Cat","52","Com Cat Registrada"
"2005","Trabalhadores da Mecanização Agropecuária e F","Trajeto-Com Cat","213","Com Cat Registrada"
"2005","Trabalhadores da Indústria Extrativa e da Con","Típico-Com Cat","32524","Com Cat Registrada"
"2005","Trabalhadores da Indústria Extrativa e da Con","Doença do Trabalho-Com Cat","1406","Com Cat Registrada"
"2005","Trabalhadores da Indústria Extrativa e da Con","Trajeto-Com Cat","3202","Com Cat Registrada"
"2005","Trabalhadores da Transformação de Metais e De","Típico-Com Cat","39292","Com Cat Registrada"
"2005","Trabalhadores da Transformação de Metais e De","Doença do Trabalho-Com Cat","3152","Com Cat Registrada"
"2005","Trabalhadores da Transformação de Metais e De","Trajeto-Com Cat","3165","Com Cat Registrada"
"2005","Trabalhadores da Fabricação e Instalação Elet","Típico-Com Cat","5204","Com Cat Registrada"
"2005","Trabalhadores da Fabricação e Instalação Elet","Doença do Trabalho-Com Cat","641","Com Cat Registrada"
"2005","Trabalhadores da Fabricação e Instalação Elet","Trajeto-Com Cat","801","Com Cat Registrada"
"2005","Montadores de Aparelhos e Instrumentos de Pre","Típico-Com Cat","158","Com Cat Registrada"
"2005","Montadores de Aparelhos e Instrumentos de Pre","Doença do Trabalho-Com Cat","15","Com Cat Registrada"
"2005","Montadores de Aparelhos e Instrumentos de Pre","Trajeto-Com Cat","18","Com Cat Registrada"
"2005","Joalheiros, Vidreiros, Ceramistas e Afins","Típico-Com Cat","1639","Com Cat Registrada"
"2005","Joalheiros, Vidreiros, Ceramistas e Afins","Doença do Trabalho-Com Cat","138","Com Cat Registrada"
"2005","Joalheiros, Vidreiros, Ceramistas e Afins","Trajeto-Com Cat","219","Com Cat Registrada"
"2005","Trabalhadores nas Indústrias Têxtil, do Curti","Típico-Com Cat","12680","Com Cat Registrada"
"2005","Trabalhadores nas Indústrias Têxtil, do Curti","Doença do Trabalho-Com Cat","2003","Com Cat Registrada"
"2005","Trabalhadores nas Indústrias Têxtil, do Curti","Trajeto-Com Cat","2698","Com Cat Registrada"
"2005","Trabalhadores das Indústrias de Madeira e do","Típico-Com Cat","8997","Com Cat Registrada"
"2005","Trabalhadores das Indústrias de Madeira e do","Doença do Trabalho-Com Cat","332","Com Cat Registrada"
"2005","Trabalhadores das Indústrias de Madeira e do","Trajeto-Com Cat","693","Com Cat Registrada"
"2005","Trabalhadores de Funções Transversais","Típico-Com Cat","53063","Com Cat Registrada"
"2005","Trabalhadores de Funções Transversais","Doença do Trabalho-Com Cat","3898","Com Cat Registrada"
"2005","Trabalhadores de Funções Transversais","Trajeto-Com Cat","7757","Com Cat Registrada"
"2005","Trabalhadores em Indústrias de Processos Cont","Típico-Com Cat","6601","Com Cat Registrada"
"2005","Trabalhadores em Indústrias de Processos Cont","Doença do Trabalho-Com Cat","636","Com Cat Registrada"
"2005","Trabalhadores em Indústrias de Processos Cont","Trajeto-Com Cat","659","Com Cat Registrada"
"2005","Trabalhadores de Instalações Siderúrgicas e D","Típico-Com Cat","5387","Com Cat Registrada"
"2005","Trabalhadores de Instalações Siderúrgicas e D","Doença do Trabalho-Com Cat","546","Com Cat Registrada"
"2005","Trabalhadores de Instalações Siderúrgicas e D","Trajeto-Com Cat","464","Com Cat Registrada"
"2005","Trabalhadores de Instalações e Máquinas de Fa","Típico-Com Cat","1437","Com Cat Registrada"
"2005","Trabalhadores de Instalações e Máquinas de Fa","Doença do Trabalho-Com Cat","60","Com Cat Registrada"
"2005","Trabalhadores de Instalações e Máquinas de Fa","Trajeto-Com Cat","101","Com Cat Registrada"
"2005","Trabalhadores da Fabricação de Alimentos, Beb","Típico-Com Cat","17287","Com Cat Registrada"
"2005","Trabalhadores da Fabricação de Alimentos, Beb","Doença do Trabalho-Com Cat","1272","Com Cat Registrada"
"2005","Trabalhadores da Fabricação de Alimentos, Beb","Trajeto-Com Cat","1576","Com Cat Registrada"
"2005","Operadores de Produção, Captação, Tratamento","Típico-Com Cat","6716","Com Cat Registrada"
"2005","Operadores de Produção, Captação, Tratamento","Doença do Trabalho-Com Cat","789","Com Cat Registrada"
"2005","Operadores de Produção, Captação, Tratamento","Trajeto-Com Cat","687","Com Cat Registrada"
"2005","Operadores de Outras Instalações Industriais","Típico-Com Cat","2","Com Cat Registrada"
"2005","Trabalhadores em Serviços de Reparação e Manu","Típico-Com Cat","13277","Com Cat Registrada"
"2005","Trabalhadores em Serviços de Reparação e Manu","Doença do Trabalho-Com Cat","596","Com Cat Registrada"
"2005","Trabalhadores em Serviços de Reparação e Manu","Trajeto-Com Cat","1173","Com Cat Registrada"
"2005","Polimantenedores","Típico-Com Cat","3149","Com Cat Registrada"
"2005","Polimantenedores","Doença do Trabalho-Com Cat","155","Com Cat Registrada"
"2005","Polimantenedores","Trajeto-Com Cat","398","Com Cat Registrada"
"2005","Outros Trabalhadores da Conservação, Manutenç","Típico-Com Cat","9088","Com Cat Registrada"
"2005","Outros Trabalhadores da Conservação, Manutenç","Doença do Trabalho-Com Cat","484","Com Cat Registrada"
"2005","Outros Trabalhadores da Conservação, Manutenç","Trajeto-Com Cat","1309","Com Cat Registrada"
"2006","Ignorado","Típico-Com Cat","118","Com Cat Registrada"
"2006","Ignorado","Doença do Trabalho-Com Cat","7","Com Cat Registrada"
