"Ano","Unidade da Federação","Motivo/Situação","Qte Acidentes"
"1988","Goiás","Trajeto-Com Cat","1613"
"1988","Distrito Federal","Trajeto-Com Cat","713"
"1988","Rondônia","Doença do Trabalho-Com Cat","9"
"1988","Acre","Doença do Trabalho-Com Cat","0"
"1988","Amazonas","Doença do Trabalho-Com Cat","4"
"1988","Pará","Doença do Trabalho-Com Cat","1"
"1988","Maranhão","Doença do Trabalho-Com Cat","18"
"1988","Piauí","Doença do Trabalho-Com Cat","0"
"1988","Ceará","Doença do Trabalho-Com Cat","34"
"1988","Rio Grande do Norte","Doença do Trabalho-Com Cat","9"
"1988","Paraíba","Doença do Trabalho-Com Cat","3"
"1988","Pernambuco","Doença do Trabalho-Com Cat","15"
"1988","Alagoas","Doença do Trabalho-Com Cat","15"
"1988","Sergipe","Doença do Trabalho-Com Cat","4"
"1988","Bahia","Doença do Trabalho-Com Cat","95"
"1988","Minas Gerais","Doença do Trabalho-Com Cat","776"
"1988","Espírito Santo","Doença do Trabalho-Com Cat","43"
"1988","Rio de Janeiro","Doença do Trabalho-Com Cat","1047"
"1988","São Paulo","Doença do Trabalho-Com Cat","2161"
"1988","Paraná","Doença do Trabalho-Com Cat","88"
"1988","Santa Catarina","Doença do Trabalho-Com Cat","191"
"1988","Rio Grande do Sul","Doença do Trabalho-Com Cat","320"
"1988","Mato Grosso do Sul","Doença do Trabalho-Com Cat","13"
"1988","Mato Grosso","Doença do Trabalho-Com Cat","6"
"1988","Goiás","Doença do Trabalho-Com Cat","53"
"1988","Distrito Federal","Doença do Trabalho-Com Cat","120"
"1989","Rondônia","Típico-Com Cat","558"
"1989","Acre","Típico-Com Cat","123"
"1989","Amazonas","Típico-Com Cat","4488"
"1989","Pará","Típico-Com Cat","11604"
"1989","Maranhão","Típico-Com Cat","5280"
"1989","Piauí","Típico-Com Cat","539"
"1989","Ceará","Típico-Com Cat","5792"
"1989","Rio Grande do Norte","Típico-Com Cat","3029"
"1989","Paraíba","Típico-Com Cat","1911"
"1989","Pernambuco","Típico-Com Cat","13534"
"1989","Alagoas","Típico-Com Cat","2706"
"1989","Sergipe","Típico-Com Cat","3409"
"1989","Bahia","Típico-Com Cat","9490"
"1989","Minas Gerais","Típico-Com Cat","84756"
"1989","Espírito Santo","Típico-Com Cat","9012"
"1989","Rio de Janeiro","Típico-Com Cat","63777"
"1989","São Paulo","Típico-Com Cat","375425"
"1989","Paraná","Típico-Com Cat","57549"
"1989","Santa Catarina","Típico-Com Cat","46691"
"1989","Rio Grande do Sul","Típico-Com Cat","101331"
"1989","Mato Grosso do Sul","Típico-Com Cat","3541"
"1989","Mato Grosso","Típico-Com Cat","2112"
"1989","Goiás","Típico-Com Cat","14518"
"1989","Distrito Federal","Típico-Com Cat","3906"
"1989","Rondônia","Trajeto-Com Cat","52"
"1989","Acre","Trajeto-Com Cat","38"
"1989","Amazonas","Trajeto-Com Cat","520"
"1989","Pará","Trajeto-Com Cat","343"
"1989","Maranhão","Trajeto-Com Cat","120"
"1989","Piauí","Trajeto-Com Cat","81"
"1989","Ceará","Trajeto-Com Cat","806"
"1989","Rio Grande do Norte","Trajeto-Com Cat","249"
"1989","Paraíba","Trajeto-Com Cat","103"
"1989","Pernambuco","Trajeto-Com Cat","1226"
"1989","Alagoas","Trajeto-Com Cat","153"
"1989","Sergipe","Trajeto-Com Cat","94"
"1989","Bahia","Trajeto-Com Cat","327"
"1989","Minas Gerais","Trajeto-Com Cat","3636"
"1989","Espírito Santo","Trajeto-Com Cat","498"
"1989","Rio de Janeiro","Trajeto-Com Cat","12514"
"1989","São Paulo","Trajeto-Com Cat","23429"
"1989","Paraná","Trajeto-Com Cat","2763"
"1989","Santa Catarina","Trajeto-Com Cat","3153"
"1989","Rio Grande do Sul","Trajeto-Com Cat","5747"
"1989","Mato Grosso do Sul","Trajeto-Com Cat","338"
"1989","Mato Grosso","Trajeto-Com Cat","195"
"1989","Goiás","Trajeto-Com Cat","1480"
"1989","Distrito Federal","Trajeto-Com Cat","659"
"1989","Rondônia","Doença do Trabalho-Com Cat","5"
"1989","Acre","Doença do Trabalho-Com Cat","1"
"1989","Amazonas","Doença do Trabalho-Com Cat","21"
"1989","Pará","Doença do Trabalho-Com Cat","0"
"1989","Maranhão","Doença do Trabalho-Com Cat","8"
"1989","Piauí","Doença do Trabalho-Com Cat","2"
"1989","Ceará","Doença do Trabalho-Com Cat","34"
"1989","Rio Grande do Norte","Doença do Trabalho-Com Cat","7"
"1989","Paraíba","Doença do Trabalho-Com Cat","5"
"1989","Pernambuco","Doença do Trabalho-Com Cat","44"
"1989","Alagoas","Doença do Trabalho-Com Cat","0"
"1989","Sergipe","Doença do Trabalho-Com Cat","3"
"1989","Bahia","Doença do Trabalho-Com Cat","138"
"1989","Minas Gerais","Doença do Trabalho-Com Cat","657"
"1989","Espírito Santo","Doença do Trabalho-Com Cat","22"
"1989","Rio de Janeiro","Doença do Trabalho-Com Cat","950"
"1989","São Paulo","Doença do Trabalho-Com Cat","1866"
"1989","Paraná","Doença do Trabalho-Com Cat","44"
"1989","Santa Catarina","Doença do Trabalho-Com Cat","248"
"1989","Rio Grande do Sul","Doença do Trabalho-Com Cat","623"
"1989","Mato Grosso do Sul","Doença do Trabalho-Com Cat","9"
"1989","Mato Grosso","Doença do Trabalho-Com Cat","4"
"1989","Goiás","Doença do Trabalho-Com Cat","39"
"1989","Distrito Federal","Doença do Trabalho-Com Cat","108"
"1990","Rondônia","Típico-Com Cat","324"
"1990","Acre","Típico-Com Cat","75"
"1990","Amazonas","Típico-Com Cat","4585"
"1990","Pará","Típico-Com Cat","3816"
"1990","Maranhão","Típico-Com Cat","3865"
"1990","Piauí","Típico-Com Cat","527"
"1990","Ceará","Típico-Com Cat","5158"
"1990","Rio Grande do Norte","Típico-Com Cat","2059"
"1990","Paraíba","Típico-Com Cat","1740"
"1990","Pernambuco","Típico-Com Cat","16244"
"1990","Alagoas","Típico-Com Cat","2552"
"1990","Sergipe","Típico-Com Cat","2634"
"1990","Bahia","Típico-Com Cat","12710"
"1990","Minas Gerais","Típico-Com Cat","63148"
"1990","Espírito Santo","Típico-Com Cat","6314"
"1990","Rio de Janeiro","Típico-Com Cat","45834"
"1990","São Paulo","Típico-Com Cat","283385"
"1990","Paraná","Típico-Com Cat","47438"
"1990","Santa Catarina","Típico-Com Cat","36493"
"1990","Rio Grande do Sul","Típico-Com Cat","73308"
"1990","Mato Grosso do Sul","Típico-Com Cat","2648"
"1990","Mato Grosso","Típico-Com Cat","1664"
"1990","Goiás","Típico-Com Cat","12451"
"1990","Distrito Federal","Típico-Com Cat","3040"
"1990","Rondônia","Trajeto-Com Cat","43"
"1990","Acre","Trajeto-Com Cat","23"
"1990","Amazonas","Trajeto-Com Cat","483"
"1990","Pará","Trajeto-Com Cat","214"
"1990","Maranhão","Trajeto-Com Cat","186"
"1990","Piauí","Trajeto-Com Cat","87"
"1990","Ceará","Trajeto-Com Cat","468"
"1990","Rio Grande do Norte","Trajeto-Com Cat","229"
"1990","Paraíba","Trajeto-Com Cat","82"
"1990","Pernambuco","Trajeto-Com Cat","1138"
"1990","Alagoas","Trajeto-Com Cat","295"
"1990","Sergipe","Trajeto-Com Cat","158"
"1990","Bahia","Trajeto-Com Cat","370"
"1990","Minas Gerais","Trajeto-Com Cat","3406"
"1990","Espírito Santo","Trajeto-Com Cat","412"
"1990","Rio de Janeiro","Trajeto-Com Cat","11005"
"1990","São Paulo","Trajeto-Com Cat","23895"
"1990","Paraná","Trajeto-Com Cat","2843"
"1990","Santa Catarina","Trajeto-Com Cat","2853"
"1990","Rio Grande do Sul","Trajeto-Com Cat","5865"
"1990","Mato Grosso do Sul","Trajeto-Com Cat","314"
"1990","Mato Grosso","Trajeto-Com Cat","144"
"1990","Goiás","Trajeto-Com Cat","1313"
"1990","Distrito Federal","Trajeto-Com Cat","517"
"1990","Rondônia","Doença do Trabalho-Com Cat","10"
"1990","Acre","Doença do Trabalho-Com Cat","0"
"1990","Amazonas","Doença do Trabalho-Com Cat","18"
"1990","Pará","Doença do Trabalho-Com Cat","0"
"1990","Maranhão","Doença do Trabalho-Com Cat","0"
"1990","Piauí","Doença do Trabalho-Com Cat","1"
"1990","Ceará","Doença do Trabalho-Com Cat","44"
"1990","Rio Grande do Norte","Doença do Trabalho-Com Cat","14"
"1990","Paraíba","Doença do Trabalho-Com Cat","7"
"1990","Pernambuco","Doença do Trabalho-Com Cat","79"
"1990","Alagoas","Doença do Trabalho-Com Cat","0"
"1990","Sergipe","Doença do Trabalho-Com Cat","24"
"1990","Bahia","Doença do Trabalho-Com Cat","299"
"1990","Minas Gerais","Doença do Trabalho-Com Cat","1065"
"1990","Espírito Santo","Doença do Trabalho-Com Cat","47"
"1990","Rio de Janeiro","Doença do Trabalho-Com Cat","164"
"1990","São Paulo","Doença do Trabalho-Com Cat","2259"
"1990","Paraná","Doença do Trabalho-Com Cat","55"
"1990","Santa Catarina","Doença do Trabalho-Com Cat","340"
"1990","Rio Grande do Sul","Doença do Trabalho-Com Cat","668"
"1990","Mato Grosso do Sul","Doença do Trabalho-Com Cat","16"
"1990","Mato Grosso","Doença do Trabalho-Com Cat","7"
"1990","Goiás","Doença do Trabalho-Com Cat","25"
"1990","Distrito Federal","Doença do Trabalho-Com Cat","75"
"1991","Rondônia","Típico-Com Cat","316"
"1991","Acre","Típico-Com Cat","73"
"1991","Amazonas","Típico-Com Cat","3187"
"1991","Pará","Típico-Com Cat","7169"
"1991","Maranhão","Típico-Com Cat","2460"
"1991","Piauí","Típico-Com Cat","372"
"1991","Ceará","Típico-Com Cat","4407"
"1991","Rio Grande do Norte","Típico-Com Cat","1999"
"1991","Paraíba","Típico-Com Cat","1316"
"1991","Pernambuco","Típico-Com Cat","10050"
"1991","Alagoas","Típico-Com Cat","2039"
"1991","Sergipe","Típico-Com Cat","2960"
"1991","Bahia","Típico-Com Cat","10089"
"1991","Minas Gerais","Típico-Com Cat","61711"
"1991","Espírito Santo","Típico-Com Cat","6859"
"1991","Rio de Janeiro","Típico-Com Cat","30774"
"1991","São Paulo","Típico-Com Cat","292165"
"1991","Paraná","Típico-Com Cat","41719"
"1991","Santa Catarina","Típico-Com Cat","28295"
"1991","Rio Grande do Sul","Típico-Com Cat","53240"
"1991","Mato Grosso do Sul","Típico-Com Cat","2734"
"1991","Mato Grosso","Típico-Com Cat","1364"
"1991","Goiás","Típico-Com Cat","11385"
"1991","Distrito Federal","Típico-Com Cat","2679"
"1991","Rondônia","Trajeto-Com Cat","63"
"1991","Acre","Trajeto-Com Cat","44"
"1991","Amazonas","Trajeto-Com Cat","382"
"1991","Pará","Trajeto-Com Cat","266"
"1991","Maranhão","Trajeto-Com Cat","331"
"1991","Piauí","Trajeto-Com Cat","80"
"1991","Ceará","Trajeto-Com Cat","519"
"1991","Rio Grande do Norte","Trajeto-Com Cat","224"
"1991","Paraíba","Trajeto-Com Cat","87"
"1991","Pernambuco","Trajeto-Com Cat","955"
"1991","Alagoas","Trajeto-Com Cat","191"
"1991","Sergipe","Trajeto-Com Cat","208"
"1991","Bahia","Trajeto-Com Cat","890"
"1991","Minas Gerais","Trajeto-Com Cat","3077"
"1991","Espírito Santo","Trajeto-Com Cat","460"
"1991","Rio de Janeiro","Trajeto-Com Cat","6612"
"1991","São Paulo","Trajeto-Com Cat","21044"
"1991","Paraná","Trajeto-Com Cat","2351"
"1991","Santa Catarina","Trajeto-Com Cat","2350"
"1991","Rio Grande do Sul","Trajeto-Com Cat","4349"
"1991","Mato Grosso do Sul","Trajeto-Com Cat","433"
"1991","Mato Grosso","Trajeto-Com Cat","140"
"1991","Goiás","Trajeto-Com Cat","1084"
"1991","Distrito Federal","Trajeto-Com Cat","539"
"1991","Rondônia","Doença do Trabalho-Com Cat","22"
"1991","Acre","Doença do Trabalho-Com Cat","0"
"1991","Amazonas","Doença do Trabalho-Com Cat","10"
"1991","Pará","Doença do Trabalho-Com Cat","19"
"1991","Maranhão","Doença do Trabalho-Com Cat","0"
"1991","Piauí","Doença do Trabalho-Com Cat","1"
"1991","Ceará","Doença do Trabalho-Com Cat","18"
"1991","Rio Grande do Norte","Doença do Trabalho-Com Cat","8"
"1991","Paraíba","Doença do Trabalho-Com Cat","1"
"1991","Pernambuco","Doença do Trabalho-Com Cat","88"
"1991","Alagoas","Doença do Trabalho-Com Cat","5"
"1991","Sergipe","Doença do Trabalho-Com Cat","11"
"1991","Bahia","Doença do Trabalho-Com Cat","472"
"1991","Minas Gerais","Doença do Trabalho-Com Cat","1103"
"1991","Espírito Santo","Doença do Trabalho-Com Cat","64"
"1991","Rio de Janeiro","Doença do Trabalho-Com Cat","197"
"1991","São Paulo","Doença do Trabalho-Com Cat","3072"
"1991","Paraná","Doença do Trabalho-Com Cat","102"
"1991","Santa Catarina","Doença do Trabalho-Com Cat","354"
"1991","Rio Grande do Sul","Doença do Trabalho-Com Cat","664"
"1991","Mato Grosso do Sul","Doença do Trabalho-Com Cat","15"
"1991","Mato Grosso","Doença do Trabalho-Com Cat","11"
"1991","Goiás","Doença do Trabalho-Com Cat","18"
"1991","Distrito Federal","Doença do Trabalho-Com Cat","26"
"1992","Rondônia","Típico-Com Cat","220"
"1992","Acre","Típico-Com Cat","51"
"1992","Amazonas","Típico-Com Cat","1134"
"1992","Pará","Típico-Com Cat","4464"
"1992","Maranhão","Típico-Com Cat","812"
"1992","Piauí","Típico-Com Cat","507"
"1992","Ceará","Típico-Com Cat","2525"
"1992","Rio Grande do Norte","Típico-Com Cat","819"
"1992","Paraíba","Típico-Com Cat","1133"
"1992","Pernambuco","Típico-Com Cat","8722"
"1992","Alagoas","Típico-Com Cat","1741"
"1992","Sergipe","Típico-Com Cat","2470"
"1992","Bahia","Típico-Com Cat","8463"
"1992","Minas Gerais","Típico-Com Cat","53373"
"1992","Espírito Santo","Típico-Com Cat","6102"
"1992","Rio de Janeiro","Típico-Com Cat","18773"
"1992","São Paulo","Típico-Com Cat","269756"
"1992","Paraná","Típico-Com Cat","34163"
"1992","Santa Catarina","Típico-Com Cat","27474"
"1992","Rio Grande do Sul","Típico-Com Cat","38727"
"1992","Mato Grosso do Sul","Típico-Com Cat","2436"
"1992","Mato Grosso","Típico-Com Cat","729"
"1992","Goiás","Típico-Com Cat","3374"
"1992","Distrito Federal","Típico-Com Cat","2948"
"1992","Rondônia","Trajeto-Com Cat","27"
"1992","Acre","Trajeto-Com Cat","19"
"1992","Amazonas","Trajeto-Com Cat","82"
"1992","Pará","Trajeto-Com Cat","144"
"1992","Maranhão","Trajeto-Com Cat","20"
"1992","Piauí","Trajeto-Com Cat","63"
"1992","Ceará","Trajeto-Com Cat","548"
"1992","Rio Grande do Norte","Trajeto-Com Cat","87"
"1992","Paraíba","Trajeto-Com Cat","94"
"1992","Pernambuco","Trajeto-Com Cat","703"
"1992","Alagoas","Trajeto-Com Cat","137"
"1992","Sergipe","Trajeto-Com Cat","145"
"1992","Bahia","Trajeto-Com Cat","380"
"1992","Minas Gerais","Trajeto-Com Cat","3096"
"1992","Espírito Santo","Trajeto-Com Cat","495"
"1992","Rio de Janeiro","Trajeto-Com Cat","1982"
"1992","São Paulo","Trajeto-Com Cat","18232"
"1992","Paraná","Trajeto-Com Cat","1713"
"1992","Santa Catarina","Trajeto-Com Cat","1748"
"1992","Rio Grande do Sul","Trajeto-Com Cat","2462"
"1992","Mato Grosso do Sul","Trajeto-Com Cat","280"
"1992","Mato Grosso","Trajeto-Com Cat","79"
"1992","Goiás","Trajeto-Com Cat","307"
"1992","Distrito Federal","Trajeto-Com Cat","456"
"1992","Rondônia","Doença do Trabalho-Com Cat","8"
"1992","Acre","Doença do Trabalho-Com Cat","0"
"1992","Amazonas","Doença do Trabalho-Com Cat","6"
"1992","Pará","Doença do Trabalho-Com Cat","3"
"1992","Maranhão","Doença do Trabalho-Com Cat","172"
"1992","Piauí","Doença do Trabalho-Com Cat","0"
"1992","Ceará","Doença do Trabalho-Com Cat","31"
"1992","Rio Grande do Norte","Doença do Trabalho-Com Cat","8"
"1992","Paraíba","Doença do Trabalho-Com Cat","13"
"1992","Pernambuco","Doença do Trabalho-Com Cat","39"
"1992","Alagoas","Doença do Trabalho-Com Cat","5"
"1992","Sergipe","Doença do Trabalho-Com Cat","5"
"1992","Bahia","Doença do Trabalho-Com Cat","498"
"1992","Minas Gerais","Doença do Trabalho-Com Cat","1226"
"1992","Espírito Santo","Doença do Trabalho-Com Cat","108"
"1992","Rio de Janeiro","Doença do Trabalho-Com Cat","108"
"1992","São Paulo","Doença do Trabalho-Com Cat","5018"
"1992","Paraná","Doença do Trabalho-Com Cat","68"
"1992","Santa Catarina","Doença do Trabalho-Com Cat","342"
"1992","Rio Grande do Sul","Doença do Trabalho-Com Cat","580"
"1992","Mato Grosso do Sul","Doença do Trabalho-Com Cat","5"
"1992","Mato Grosso","Doença do Trabalho-Com Cat","2"
"1992","Goiás","Doença do Trabalho-Com Cat","23"
"1992","Distrito Federal","Doença do Trabalho-Com Cat","31"
"1993","Rondônia","Típico-Com Cat","317"
"1993","Acre","Típico-Com Cat","23"
"1993","Amazonas","Típico-Com Cat","1435"
"1993","Pará","Típico-Com Cat","1617"
"1993","Maranhão","Típico-Com Cat","365"
"1993","Piauí","Típico-Com Cat","419"
"1993","Ceará","Típico-Com Cat","2278"
"1993","Rio Grande do Norte","Típico-Com Cat","849"
"1993","Paraíba","Típico-Com Cat","195"
"1993","Pernambuco","Típico-Com Cat","1910"
"1993","Alagoas","Típico-Com Cat","1102"
"1993","Sergipe","Típico-Com Cat","1438"
"1993","Bahia","Típico-Com Cat","5590"
"1993","Minas Gerais","Típico-Com Cat","49388"
"1993","Espírito Santo","Típico-Com Cat","5223"
"1993","Rio de Janeiro","Típico-Com Cat","6497"
"1993","São Paulo","Típico-Com Cat","215180"
"1993","Paraná","Típico-Com Cat","30702"
"1993","Santa Catarina","Típico-Com Cat","23960"
"1993","Rio Grande do Sul","Típico-Com Cat","17028"
"1993","Mato Grosso do Sul","Típico-Com Cat","2257"
"1993","Mato Grosso","Típico-Com Cat","258"
"1993","Goiás","Típico-Com Cat","3155"
"1993","Distrito Federal","Típico-Com Cat","2981"
"1993","Rondônia","Trajeto-Com Cat","45"
"1993","Acre","Trajeto-Com Cat","7"
"1993","Amazonas","Trajeto-Com Cat","143"
"1993","Pará","Trajeto-Com Cat","94"
"1993","Maranhão","Trajeto-Com Cat","43"
"1993","Piauí","Trajeto-Com Cat","79"
"1993","Ceará","Trajeto-Com Cat","393"
"1993","Rio Grande do Norte","Trajeto-Com Cat","54"
"1993","Paraíba","Trajeto-Com Cat","10"
"1993","Pernambuco","Trajeto-Com Cat","346"
"1993","Alagoas","Trajeto-Com Cat","51"
"1993","Sergipe","Trajeto-Com Cat","81"
"1993","Bahia","Trajeto-Com Cat","571"
"1993","Minas Gerais","Trajeto-Com Cat","2722"
"1993","Espírito Santo","Trajeto-Com Cat","350"
"1993","Rio de Janeiro","Trajeto-Com Cat","537"
"1993","São Paulo","Trajeto-Com Cat","15980"
"1993","Paraná","Trajeto-Com Cat","543"
"1993","Santa Catarina","Trajeto-Com Cat","175"
"1993","Rio Grande do Sul","Trajeto-Com Cat","388"
"1993","Mato Grosso do Sul","Trajeto-Com Cat","5"
"1993","Mato Grosso","Trajeto-Com Cat","0"
"1993","Goiás","Trajeto-Com Cat","48"
"1993","Distrito Federal","Trajeto-Com Cat","44"
"1993","Rondônia","Doença do Trabalho-Com Cat","13"
"1993","Acre","Doença do Trabalho-Com Cat","0"
"1993","Amazonas","Doença do Trabalho-Com Cat","19"
"1993","Pará","Doença do Trabalho-Com Cat","4"
"1993","Maranhão","Doença do Trabalho-Com Cat","6"
"1993","Piauí","Doença do Trabalho-Com Cat","12"
"1993","Ceará","Doença do Trabalho-Com Cat","49"
"1993","Rio Grande do Norte","Doença do Trabalho-Com Cat","8"
"1993","Paraíba","Doença do Trabalho-Com Cat","2"
"1993","Pernambuco","Doença do Trabalho-Com Cat","13"
"1993","Alagoas","Doença do Trabalho-Com Cat","5"
"1993","Sergipe","Doença do Trabalho-Com Cat","3"
"1993","Bahia","Doença do Trabalho-Com Cat","898"
"1993","Minas Gerais","Doença do Trabalho-Com Cat","1710"
"1993","Espírito Santo","Doença do Trabalho-Com Cat","128"
"1993","Rio de Janeiro","Doença do Trabalho-Com Cat","23"
"1993","São Paulo","Doença do Trabalho-Com Cat","6784"
"1993","Paraná","Doença do Trabalho-Com Cat","1112"
"1993","Santa Catarina","Doença do Trabalho-Com Cat","2141"
"1993","Rio Grande do Sul","Doença do Trabalho-Com Cat","1019"
"1993","Mato Grosso do Sul","Doença do Trabalho-Com Cat","286"
"1993","Mato Grosso","Doença do Trabalho-Com Cat","39"
"1993","Goiás","Doença do Trabalho-Com Cat","569"
"1993","Distrito Federal","Doença do Trabalho-Com Cat","574"
"1994","Rondônia","Típico-Com Cat","0"
"1994","Acre","Típico-Com Cat","0"
"1994","Amazonas","Típico-Com Cat","1209"
"1994","Pará","Típico-Com Cat","2120"
"1994","Amapá","Típico-Com Cat","0"
"1994","Tocantins","Típico-Com Cat","0"
"1994","Maranhão","Típico-Com Cat","53"
"1994","Piauí","Típico-Com Cat","390"
"1994","Ceará","Típico-Com Cat","1019"
"1994","Rio Grande do Norte","Típico-Com Cat","778"
"1994","Paraíba","Típico-Com Cat","787"
"1994","Pernambuco","Típico-Com Cat","4221"
"1994","Alagoas","Típico-Com Cat","1123"
"1994","Sergipe","Típico-Com Cat","973"
"1994","Bahia","Típico-Com Cat","5030"
"1994","Minas Gerais","Típico-Com Cat","46326"
"1994","Espírito Santo","Típico-Com Cat","4952"
"1994","Rio de Janeiro","Típico-Com Cat","12504"
"1994","São Paulo","Típico-Com Cat","204031"
"1994","Paraná","Típico-Com Cat","20163"
"1994","Santa Catarina","Típico-Com Cat","23667"
"1994","Rio Grande do Sul","Típico-Com Cat","13185"
"1994","Mato Grosso do Sul","Típico-Com Cat","2175"
"1994","Mato Grosso","Típico-Com Cat","719"
"1994","Goiás","Típico-Com Cat","3626"
"1994","Distrito Federal","Típico-Com Cat","1159"
"1994","Rondônia","Trajeto-Com Cat","0"
"1994","Acre","Trajeto-Com Cat","0"
"1994","Amazonas","Trajeto-Com Cat","103"
"1994","Pará","Trajeto-Com Cat","172"
"1994","Amapá","Trajeto-Com Cat","0"
"1994","Tocantins","Trajeto-Com Cat","0"
"1994","Maranhão","Trajeto-Com Cat","4"
"1994","Piauí","Trajeto-Com Cat","84"
"1994","Ceará","Trajeto-Com Cat","216"
"1994","Rio Grande do Norte","Trajeto-Com Cat","29"
"1994","Paraíba","Trajeto-Com Cat","111"
"1994","Pernambuco","Trajeto-Com Cat","503"
"1994","Alagoas","Trajeto-Com Cat","76"
"1994","Sergipe","Trajeto-Com Cat","60"
"1994","Bahia","Trajeto-Com Cat","464"
"1994","Minas Gerais","Trajeto-Com Cat","2891"
"1994","Espírito Santo","Trajeto-Com Cat","351"
"1994","Rio de Janeiro","Trajeto-Com Cat","1283"
"1994","São Paulo","Trajeto-Com Cat","11932"
"1994","Paraná","Trajeto-Com Cat","1339"
"1994","Santa Catarina","Trajeto-Com Cat","1899"
"1994","Rio Grande do Sul","Trajeto-Com Cat","179"
"1994","Mato Grosso do Sul","Trajeto-Com Cat","211"
"1994","Mato Grosso","Trajeto-Com Cat","19"
"1994","Goiás","Trajeto-Com Cat","787"
"1994","Distrito Federal","Trajeto-Com Cat","111"
"1994","Rondônia","Doença do Trabalho-Com Cat","0"
"1994","Acre","Doença do Trabalho-Com Cat","0"
"1994","Amazonas","Doença do Trabalho-Com Cat","37"
"1994","Pará","Doença do Trabalho-Com Cat","87"
"1994","Amapá","Doença do Trabalho-Com Cat","0"
"1994","Tocantins","Doença do Trabalho-Com Cat","0"
"1994","Maranhão","Doença do Trabalho-Com Cat","0"
"1994","Piauí","Doença do Trabalho-Com Cat","16"
"1994","Ceará","Doença do Trabalho-Com Cat","14"
"1994","Rio Grande do Norte","Doença do Trabalho-Com Cat","6"
"1994","Paraíba","Doença do Trabalho-Com Cat","5"
"1994","Pernambuco","Doença do Trabalho-Com Cat","382"
"1994","Alagoas","Doença do Trabalho-Com Cat","18"
"1994","Sergipe","Doença do Trabalho-Com Cat","12"
"1994","Bahia","Doença do Trabalho-Com Cat","796"
"1994","Minas Gerais","Doença do Trabalho-Com Cat","2894"
"1994","Espírito Santo","Doença do Trabalho-Com Cat","280"
"1994","Rio de Janeiro","Doença do Trabalho-Com Cat","133"
"1994","São Paulo","Doença do Trabalho-Com Cat","9617"
"1994","Paraná","Doença do Trabalho-Com Cat","312"
"1994","Santa Catarina","Doença do Trabalho-Com Cat","243"
"1994","Rio Grande do Sul","Doença do Trabalho-Com Cat","341"
"1994","Mato Grosso do Sul","Doença do Trabalho-Com Cat","10"
"1994","Mato Grosso","Doença do Trabalho-Com Cat","3"
"1994","Goiás","Doença do Trabalho-Com Cat","37"
"1994","Distrito Federal","Doença do Trabalho-Com Cat","27"
"1995","Rondônia","Típico-Com Cat","403"
"1995","Acre","Típico-Com Cat","95"
"1995","Amazonas","Típico-Com Cat","1538"
"1995","Pará","Típico-Com Cat","1953"
"1995","Amapá","Típico-Com Cat","153"
"1995","Tocantins","Típico-Com Cat","176"
"1995","Maranhão","Típico-Com Cat","41"
"1995","Piauí","Típico-Com Cat","235"
