"Ano","Idade","Motivo/Situação","Sexo","Qte Acidentes","Situação"
"1997","70 Anos e Mais","Típico-Com Cat","Masculino","25","Com Cat Registrada"
"1997","70 Anos e Mais","Típico-Com Cat","Feminino","1","Com Cat Registrada"
"1997","70 Anos e Mais","Típico-Com Cat","Ignorado","251","Com Cat Registrada"
"1997","Ignorada","Típico-Com Cat","Masculino","4252","Com Cat Registrada"
"1997","Ignorada","Típico-Com Cat","Feminino","761","Com Cat Registrada"
"1997","Ignorada","Típico-Com Cat","Ignorado","11761","Com Cat Registrada"
"1997","Até 19 Anos","Trajeto-Com Cat","Masculino","1062","Com Cat Registrada"
"1997","Até 19 Anos","Trajeto-Com Cat","Feminino","226","Com Cat Registrada"
"1997","Até 19 Anos","Trajeto-Com Cat","Ignorado","1332","Com Cat Registrada"
"1997","Até 19 Anos","Doença do Trabalho-Com Cat","Masculino","111","Com Cat Registrada"
"1997","Até 19 Anos","Doença do Trabalho-Com Cat","Feminino","356","Com Cat Registrada"
"1997","Até 19 Anos","Doença do Trabalho-Com Cat","Ignorado","321","Com Cat Registrada"
"1997","20 a 24 Anos","Trajeto-Com Cat","Masculino","2418","Com Cat Registrada"
"1997","20 a 24 Anos","Trajeto-Com Cat","Feminino","610","Com Cat Registrada"
"1997","20 a 24 Anos","Trajeto-Com Cat","Ignorado","3386","Com Cat Registrada"
"1997","20 a 24 Anos","Doença do Trabalho-Com Cat","Masculino","553","Com Cat Registrada"
"1997","20 a 24 Anos","Doença do Trabalho-Com Cat","Feminino","1510","Com Cat Registrada"
"1997","20 a 24 Anos","Doença do Trabalho-Com Cat","Ignorado","1245","Com Cat Registrada"
"1997","25 a 29 Anos","Trajeto-Com Cat","Masculino","2393","Com Cat Registrada"
"1997","25 a 29 Anos","Trajeto-Com Cat","Feminino","679","Com Cat Registrada"
"1997","25 a 29 Anos","Trajeto-Com Cat","Ignorado","3185","Com Cat Registrada"
"1997","25 a 29 Anos","Doença do Trabalho-Com Cat","Masculino","890","Com Cat Registrada"
"1997","25 a 29 Anos","Doença do Trabalho-Com Cat","Feminino","2017","Com Cat Registrada"
"1997","25 a 29 Anos","Doença do Trabalho-Com Cat","Ignorado","1825","Com Cat Registrada"
"1997","30 a 34 Anos","Trajeto-Com Cat","Masculino","2152","Com Cat Registrada"
"1997","30 a 34 Anos","Trajeto-Com Cat","Feminino","711","Com Cat Registrada"
"1997","30 a 34 Anos","Trajeto-Com Cat","Ignorado","2807","Com Cat Registrada"
"1997","30 a 34 Anos","Doença do Trabalho-Com Cat","Masculino","1064","Com Cat Registrada"
"1997","30 a 34 Anos","Doença do Trabalho-Com Cat","Feminino","2112","Com Cat Registrada"
"1997","30 a 34 Anos","Doença do Trabalho-Com Cat","Ignorado","2582","Com Cat Registrada"
"1997","35 a 39 Anos","Trajeto-Com Cat","Masculino","1717","Com Cat Registrada"
"1997","35 a 39 Anos","Trajeto-Com Cat","Feminino","688","Com Cat Registrada"
"1997","35 a 39 Anos","Trajeto-Com Cat","Ignorado","2208","Com Cat Registrada"
"1997","35 a 39 Anos","Doença do Trabalho-Com Cat","Masculino","1121","Com Cat Registrada"
"1997","35 a 39 Anos","Doença do Trabalho-Com Cat","Feminino","2178","Com Cat Registrada"
"1997","35 a 39 Anos","Doença do Trabalho-Com Cat","Ignorado","3231","Com Cat Registrada"
"1997","40 a 44 Anos","Trajeto-Com Cat","Masculino","1383","Com Cat Registrada"
"1997","40 a 44 Anos","Trajeto-Com Cat","Feminino","622","Com Cat Registrada"
"1997","40 a 44 Anos","Trajeto-Com Cat","Ignorado","1873","Com Cat Registrada"
"1997","40 a 44 Anos","Doença do Trabalho-Com Cat","Masculino","978","Com Cat Registrada"
"1997","40 a 44 Anos","Doença do Trabalho-Com Cat","Feminino","1628","Com Cat Registrada"
"1997","40 a 44 Anos","Doença do Trabalho-Com Cat","Ignorado","3493","Com Cat Registrada"
"1997","45 a 49 Anos","Trajeto-Com Cat","Masculino","879","Com Cat Registrada"
"1997","45 a 49 Anos","Trajeto-Com Cat","Feminino","473","Com Cat Registrada"
"1997","45 a 49 Anos","Trajeto-Com Cat","Ignorado","1320","Com Cat Registrada"
"1997","45 a 49 Anos","Doença do Trabalho-Com Cat","Masculino","579","Com Cat Registrada"
"1997","45 a 49 Anos","Doença do Trabalho-Com Cat","Feminino","878","Com Cat Registrada"
"1997","45 a 49 Anos","Doença do Trabalho-Com Cat","Ignorado","2622","Com Cat Registrada"
"1997","50 a 54 Anos","Trajeto-Com Cat","Masculino","535","Com Cat Registrada"
"1997","50 a 54 Anos","Trajeto-Com Cat","Feminino","319","Com Cat Registrada"
"1997","50 a 54 Anos","Trajeto-Com Cat","Ignorado","735","Com Cat Registrada"
"1997","50 a 54 Anos","Doença do Trabalho-Com Cat","Masculino","250","Com Cat Registrada"
"1997","50 a 54 Anos","Doença do Trabalho-Com Cat","Feminino","298","Com Cat Registrada"
"1997","50 a 54 Anos","Doença do Trabalho-Com Cat","Ignorado","1353","Com Cat Registrada"
"1997","55 a 59 Anos","Trajeto-Com Cat","Masculino","325","Com Cat Registrada"
"1997","55 a 59 Anos","Trajeto-Com Cat","Feminino","168","Com Cat Registrada"
"1997","55 a 59 Anos","Trajeto-Com Cat","Ignorado","433","Com Cat Registrada"
"1997","55 a 59 Anos","Doença do Trabalho-Com Cat","Masculino","108","Com Cat Registrada"
"1997","55 a 59 Anos","Doença do Trabalho-Com Cat","Feminino","127","Com Cat Registrada"
"1997","55 a 59 Anos","Doença do Trabalho-Com Cat","Ignorado","648","Com Cat Registrada"
"1997","60 a 64 Anos","Trajeto-Com Cat","Masculino","160","Com Cat Registrada"
"1997","60 a 64 Anos","Trajeto-Com Cat","Feminino","41","Com Cat Registrada"
"1997","60 a 64 Anos","Trajeto-Com Cat","Ignorado","201","Com Cat Registrada"
"1997","60 a 64 Anos","Doença do Trabalho-Com Cat","Masculino","52","Com Cat Registrada"
"1997","60 a 64 Anos","Doença do Trabalho-Com Cat","Feminino","7","Com Cat Registrada"
"1997","60 a 64 Anos","Doença do Trabalho-Com Cat","Ignorado","282","Com Cat Registrada"
"1997","65 a 69 Anos","Trajeto-Com Cat","Masculino","20","Com Cat Registrada"
"1997","65 a 69 Anos","Trajeto-Com Cat","Feminino","6","Com Cat Registrada"
"1997","65 a 69 Anos","Trajeto-Com Cat","Ignorado","76","Com Cat Registrada"
"1997","65 a 69 Anos","Doença do Trabalho-Com Cat","Masculino","12","Com Cat Registrada"
"1997","65 a 69 Anos","Doença do Trabalho-Com Cat","Feminino","2","Com Cat Registrada"
"1997","65 a 69 Anos","Doença do Trabalho-Com Cat","Ignorado","111","Com Cat Registrada"
"1997","70 Anos e Mais","Trajeto-Com Cat","Masculino","4","Com Cat Registrada"
"1997","70 Anos e Mais","Trajeto-Com Cat","Feminino","2","Com Cat Registrada"
"1997","70 Anos e Mais","Trajeto-Com Cat","Ignorado","30","Com Cat Registrada"
"1997","70 Anos e Mais","Doença do Trabalho-Com Cat","Masculino","0","Com Cat Registrada"
"1997","70 Anos e Mais","Doença do Trabalho-Com Cat","Feminino","1","Com Cat Registrada"
"1997","70 Anos e Mais","Doença do Trabalho-Com Cat","Ignorado","32","Com Cat Registrada"
"1997","Ignorada","Trajeto-Com Cat","Masculino","628","Com Cat Registrada"
"1997","Ignorada","Trajeto-Com Cat","Feminino","293","Com Cat Registrada"
"1997","Ignorada","Trajeto-Com Cat","Ignorado","1113","Com Cat Registrada"
"1997","Ignorada","Doença do Trabalho-Com Cat","Masculino","350","Com Cat Registrada"
"1997","Ignorada","Doença do Trabalho-Com Cat","Feminino","734","Com Cat Registrada"
"1997","Ignorada","Doença do Trabalho-Com Cat","Ignorado","987","Com Cat Registrada"
"1998","Até 19 Anos","Típico-Com Cat","Masculino","19839","Com Cat Registrada"
"1998","Até 19 Anos","Típico-Com Cat","Feminino","2927","Com Cat Registrada"
"1998","Até 19 Anos","Típico-Com Cat","Ignorado","3073","Com Cat Registrada"
"1998","Até 19 Anos","Trajeto-Com Cat","Masculino","1802","Com Cat Registrada"
"1998","Até 19 Anos","Trajeto-Com Cat","Feminino","443","Com Cat Registrada"
"1998","Até 19 Anos","Trajeto-Com Cat","Ignorado","201","Com Cat Registrada"
"1998","Até 19 Anos","Doença do Trabalho-Com Cat","Masculino","254","Com Cat Registrada"
"1998","Até 19 Anos","Doença do Trabalho-Com Cat","Feminino","443","Com Cat Registrada"
"1998","Até 19 Anos","Doença do Trabalho-Com Cat","Ignorado","33","Com Cat Registrada"
"1998","20 a 24 Anos","Típico-Com Cat","Masculino","50272","Com Cat Registrada"
"1998","20 a 24 Anos","Típico-Com Cat","Feminino","6943","Com Cat Registrada"
"1998","20 a 24 Anos","Típico-Com Cat","Ignorado","7666","Com Cat Registrada"
"1998","20 a 24 Anos","Trajeto-Com Cat","Masculino","4528","Com Cat Registrada"
"1998","20 a 24 Anos","Trajeto-Com Cat","Feminino","1431","Com Cat Registrada"
"1998","20 a 24 Anos","Trajeto-Com Cat","Ignorado","518","Com Cat Registrada"
"1998","20 a 24 Anos","Doença do Trabalho-Com Cat","Masculino","1008","Com Cat Registrada"
"1998","20 a 24 Anos","Doença do Trabalho-Com Cat","Feminino","1812","Com Cat Registrada"
"1998","20 a 24 Anos","Doença do Trabalho-Com Cat","Ignorado","165","Com Cat Registrada"
"1998","25 a 29 Anos","Típico-Com Cat","Masculino","45972","Com Cat Registrada"
"1998","25 a 29 Anos","Típico-Com Cat","Feminino","7579","Com Cat Registrada"
"1998","25 a 29 Anos","Típico-Com Cat","Ignorado","6926","Com Cat Registrada"
"1998","25 a 29 Anos","Trajeto-Com Cat","Masculino","4364","Com Cat Registrada"
"1998","25 a 29 Anos","Trajeto-Com Cat","Feminino","1476","Com Cat Registrada"
"1998","25 a 29 Anos","Trajeto-Com Cat","Ignorado","480","Com Cat Registrada"
"1998","25 a 29 Anos","Doença do Trabalho-Com Cat","Masculino","1599","Com Cat Registrada"
"1998","25 a 29 Anos","Doença do Trabalho-Com Cat","Feminino","2362","Com Cat Registrada"
"1998","25 a 29 Anos","Doença do Trabalho-Com Cat","Ignorado","215","Com Cat Registrada"
"1998","30 a 34 Anos","Típico-Com Cat","Masculino","40081","Com Cat Registrada"
"1998","30 a 34 Anos","Típico-Com Cat","Feminino","7774","Com Cat Registrada"
"1998","30 a 34 Anos","Típico-Com Cat","Ignorado","5901","Com Cat Registrada"
"1998","30 a 34 Anos","Trajeto-Com Cat","Masculino","3808","Com Cat Registrada"
"1998","30 a 34 Anos","Trajeto-Com Cat","Feminino","1484","Com Cat Registrada"
"1998","30 a 34 Anos","Trajeto-Com Cat","Ignorado","404","Com Cat Registrada"
"1998","30 a 34 Anos","Doença do Trabalho-Com Cat","Masculino","2239","Com Cat Registrada"
"1998","30 a 34 Anos","Doença do Trabalho-Com Cat","Feminino","2438","Com Cat Registrada"
"1998","30 a 34 Anos","Doença do Trabalho-Com Cat","Ignorado","250","Com Cat Registrada"
"1998","35 a 39 Anos","Típico-Com Cat","Masculino","32904","Com Cat Registrada"
"1998","35 a 39 Anos","Típico-Com Cat","Feminino","7510","Com Cat Registrada"
"1998","35 a 39 Anos","Típico-Com Cat","Ignorado","4593","Com Cat Registrada"
"1998","35 a 39 Anos","Trajeto-Com Cat","Masculino","2925","Com Cat Registrada"
"1998","35 a 39 Anos","Trajeto-Com Cat","Feminino","1462","Com Cat Registrada"
"1998","35 a 39 Anos","Trajeto-Com Cat","Ignorado","350","Com Cat Registrada"
"1998","35 a 39 Anos","Doença do Trabalho-Com Cat","Masculino","2630","Com Cat Registrada"
"1998","35 a 39 Anos","Doença do Trabalho-Com Cat","Feminino","2506","Com Cat Registrada"
"1998","35 a 39 Anos","Doença do Trabalho-Com Cat","Ignorado","297","Com Cat Registrada"
"1998","40 a 44 Anos","Típico-Com Cat","Masculino","25941","Com Cat Registrada"
"1998","40 a 44 Anos","Típico-Com Cat","Feminino","6165","Com Cat Registrada"
"1998","40 a 44 Anos","Típico-Com Cat","Ignorado","3538","Com Cat Registrada"
"1998","40 a 44 Anos","Trajeto-Com Cat","Masculino","2216","Com Cat Registrada"
"1998","40 a 44 Anos","Trajeto-Com Cat","Feminino","1297","Com Cat Registrada"
"1998","40 a 44 Anos","Trajeto-Com Cat","Ignorado","273","Com Cat Registrada"
"1998","40 a 44 Anos","Doença do Trabalho-Com Cat","Masculino","2814","Com Cat Registrada"
"1998","40 a 44 Anos","Doença do Trabalho-Com Cat","Feminino","2000","Com Cat Registrada"
"1998","40 a 44 Anos","Doença do Trabalho-Com Cat","Ignorado","327","Com Cat Registrada"
"1998","45 a 49 Anos","Típico-Com Cat","Masculino","17428","Com Cat Registrada"
"1998","45 a 49 Anos","Típico-Com Cat","Feminino","4207","Com Cat Registrada"
"1998","45 a 49 Anos","Típico-Com Cat","Ignorado","2416","Com Cat Registrada"
"1998","45 a 49 Anos","Trajeto-Com Cat","Masculino","1481","Com Cat Registrada"
"1998","45 a 49 Anos","Trajeto-Com Cat","Feminino","879","Com Cat Registrada"
"1998","45 a 49 Anos","Trajeto-Com Cat","Ignorado","169","Com Cat Registrada"
"1998","45 a 49 Anos","Doença do Trabalho-Com Cat","Masculino","2048","Com Cat Registrada"
"1998","45 a 49 Anos","Doença do Trabalho-Com Cat","Feminino","1099","Com Cat Registrada"
"1998","45 a 49 Anos","Doença do Trabalho-Com Cat","Ignorado","239","Com Cat Registrada"
"1998","50 a 54 Anos","Típico-Com Cat","Masculino","10286","Com Cat Registrada"
"1998","50 a 54 Anos","Típico-Com Cat","Feminino","2491","Com Cat Registrada"
"1998","50 a 54 Anos","Típico-Com Cat","Ignorado","1326","Com Cat Registrada"
"1998","50 a 54 Anos","Trajeto-Com Cat","Masculino","847","Com Cat Registrada"
"1998","50 a 54 Anos","Trajeto-Com Cat","Feminino","591","Com Cat Registrada"
"1998","50 a 54 Anos","Trajeto-Com Cat","Ignorado","99","Com Cat Registrada"
"1998","50 a 54 Anos","Doença do Trabalho-Com Cat","Masculino","1056","Com Cat Registrada"
"1998","50 a 54 Anos","Doença do Trabalho-Com Cat","Feminino","436","Com Cat Registrada"
"1998","50 a 54 Anos","Doença do Trabalho-Com Cat","Ignorado","144","Com Cat Registrada"
"1998","55 a 59 Anos","Típico-Com Cat","Masculino","5783","Com Cat Registrada"
"1998","55 a 59 Anos","Típico-Com Cat","Feminino","1153","Com Cat Registrada"
"1998","55 a 59 Anos","Típico-Com Cat","Ignorado","700","Com Cat Registrada"
"1998","55 a 59 Anos","Trajeto-Com Cat","Masculino","510","Com Cat Registrada"
"1998","55 a 59 Anos","Trajeto-Com Cat","Feminino","343","Com Cat Registrada"
"1998","55 a 59 Anos","Trajeto-Com Cat","Ignorado","57","Com Cat Registrada"
"1998","55 a 59 Anos","Doença do Trabalho-Com Cat","Masculino","524","Com Cat Registrada"
"1998","55 a 59 Anos","Doença do Trabalho-Com Cat","Feminino","126","Com Cat Registrada"
"1998","55 a 59 Anos","Doença do Trabalho-Com Cat","Ignorado","70","Com Cat Registrada"
"1998","60 a 64 Anos","Típico-Com Cat","Masculino","2326","Com Cat Registrada"
"1998","60 a 64 Anos","Típico-Com Cat","Feminino","293","Com Cat Registrada"
"1998","60 a 64 Anos","Típico-Com Cat","Ignorado","282","Com Cat Registrada"
"1998","60 a 64 Anos","Trajeto-Com Cat","Masculino","268","Com Cat Registrada"
"1998","60 a 64 Anos","Trajeto-Com Cat","Feminino","86","Com Cat Registrada"
"1998","60 a 64 Anos","Trajeto-Com Cat","Ignorado","35","Com Cat Registrada"
"1998","60 a 64 Anos","Doença do Trabalho-Com Cat","Masculino","187","Com Cat Registrada"
"1998","60 a 64 Anos","Doença do Trabalho-Com Cat","Feminino","22","Com Cat Registrada"
"1998","60 a 64 Anos","Doença do Trabalho-Com Cat","Ignorado","29","Com Cat Registrada"
"1998","65 a 69 Anos","Típico-Com Cat","Masculino","631","Com Cat Registrada"
"1998","65 a 69 Anos","Típico-Com Cat","Feminino","60","Com Cat Registrada"
"1998","65 a 69 Anos","Típico-Com Cat","Ignorado","93","Com Cat Registrada"
"1998","65 a 69 Anos","Trajeto-Com Cat","Masculino","54","Com Cat Registrada"
"1998","65 a 69 Anos","Trajeto-Com Cat","Feminino","33","Com Cat Registrada"
"1998","65 a 69 Anos","Trajeto-Com Cat","Ignorado","8","Com Cat Registrada"
"1998","65 a 69 Anos","Doença do Trabalho-Com Cat","Masculino","53","Com Cat Registrada"
"1998","65 a 69 Anos","Doença do Trabalho-Com Cat","Feminino","3","Com Cat Registrada"
"1998","65 a 69 Anos","Doença do Trabalho-Com Cat","Ignorado","8","Com Cat Registrada"
"1998","70 Anos e Mais","Típico-Com Cat","Masculino","203","Com Cat Registrada"
"1998","70 Anos e Mais","Típico-Com Cat","Feminino","23","Com Cat Registrada"
"1998","70 Anos e Mais","Típico-Com Cat","Ignorado","46","Com Cat Registrada"
"1998","70 Anos e Mais","Trajeto-Com Cat","Masculino","14","Com Cat Registrada"
"1998","70 Anos e Mais","Trajeto-Com Cat","Feminino","9","Com Cat Registrada"
"1998","70 Anos e Mais","Trajeto-Com Cat","Ignorado","4","Com Cat Registrada"
"1998","70 Anos e Mais","Doença do Trabalho-Com Cat","Masculino","7","Com Cat Registrada"
"1998","70 Anos e Mais","Doença do Trabalho-Com Cat","Feminino","0","Com Cat Registrada"
"1998","70 Anos e Mais","Doença do Trabalho-Com Cat","Ignorado","4","Com Cat Registrada"
"1998","Ignorada","Típico-Com Cat","Masculino","8386","Com Cat Registrada"
"1998","Ignorada","Típico-Com Cat","Feminino","1488","Com Cat Registrada"
"1998","Ignorada","Típico-Com Cat","Ignorado","2513","Com Cat Registrada"
"1998","Ignorada","Trajeto-Com Cat","Masculino","668","Com Cat Registrada"
"1998","Ignorada","Trajeto-Com Cat","Feminino","317","Com Cat Registrada"
"1998","Ignorada","Trajeto-Com Cat","Ignorado","180","Com Cat Registrada"
"1998","Ignorada","Doença do Trabalho-Com Cat","Masculino","443","Com Cat Registrada"
"1998","Ignorada","Doença do Trabalho-Com Cat","Feminino","431","Com Cat Registrada"
"1998","Ignorada","Doença do Trabalho-Com Cat","Ignorado","168","Com Cat Registrada"
"1999","Até 19 Anos","Típico-Com Cat","Masculino","14988","Com Cat Registrada"
"1999","Até 19 Anos","Típico-Com Cat","Feminino","2577","Com Cat Registrada"
"1999","Até 19 Anos","Típico-Com Cat","Ignorado","62","Com Cat Registrada"
"1999","Até 19 Anos","Trajeto-Com Cat","Masculino","1505","Com Cat Registrada"
"1999","Até 19 Anos","Trajeto-Com Cat","Feminino","438","Com Cat Registrada"
"1999","Até 19 Anos","Trajeto-Com Cat","Ignorado","4","Com Cat Registrada"
"1999","Até 19 Anos","Doença do Trabalho-Com Cat","Masculino","95","Com Cat Registrada"
"1999","Até 19 Anos","Doença do Trabalho-Com Cat","Feminino","232","Com Cat Registrada"
"1999","Até 19 Anos","Doença do Trabalho-Com Cat","Ignorado","2","Com Cat Registrada"
"1999","20 a 24 Anos","Típico-Com Cat","Masculino","53792","Com Cat Registrada"
"1999","20 a 24 Anos","Típico-Com Cat","Feminino","8138","Com Cat Registrada"
"1999","20 a 24 Anos","Típico-Com Cat","Ignorado","144","Com Cat Registrada"
"1999","20 a 24 Anos","Trajeto-Com Cat","Masculino","5357","Com Cat Registrada"
"1999","20 a 24 Anos","Trajeto-Com Cat","Feminino","1696","Com Cat Registrada"
"1999","20 a 24 Anos","Trajeto-Com Cat","Ignorado","7","Com Cat Registrada"
"1999","20 a 24 Anos","Doença do Trabalho-Com Cat","Masculino","850","Com Cat Registrada"
"1999","20 a 24 Anos","Doença do Trabalho-Com Cat","Feminino","1384","Com Cat Registrada"
"1999","20 a 24 Anos","Doença do Trabalho-Com Cat","Ignorado","2","Com Cat Registrada"
"1999","25 a 29 Anos","Típico-Com Cat","Masculino","50410","Com Cat Registrada"
"1999","25 a 29 Anos","Típico-Com Cat","Feminino","8744","Com Cat Registrada"
"1999","25 a 29 Anos","Típico-Com Cat","Ignorado","114","Com Cat Registrada"
"1999","25 a 29 Anos","Trajeto-Com Cat","Masculino","5184","Com Cat Registrada"
"1999","25 a 29 Anos","Trajeto-Com Cat","Feminino","1802","Com Cat Registrada"
"1999","25 a 29 Anos","Trajeto-Com Cat","Ignorado","4","Com Cat Registrada"
"1999","25 a 29 Anos","Doença do Trabalho-Com Cat","Masculino","1352","Com Cat Registrada"
"1999","25 a 29 Anos","Doença do Trabalho-Com Cat","Feminino","1916","Com Cat Registrada"
"1999","25 a 29 Anos","Doença do Trabalho-Com Cat","Ignorado","1","Com Cat Registrada"
"1999","30 a 34 Anos","Típico-Com Cat","Masculino","43995","Com Cat Registrada"
"1999","30 a 34 Anos","Típico-Com Cat","Feminino","9037","Com Cat Registrada"
"1999","30 a 34 Anos","Típico-Com Cat","Ignorado","99","Com Cat Registrada"
"1999","30 a 34 Anos","Trajeto-Com Cat","Masculino","4263","Com Cat Registrada"
"1999","30 a 34 Anos","Trajeto-Com Cat","Feminino","1832","Com Cat Registrada"
"1999","30 a 34 Anos","Trajeto-Com Cat","Ignorado","5","Com Cat Registrada"
"1999","30 a 34 Anos","Doença do Trabalho-Com Cat","Masculino","1919","Com Cat Registrada"
"1999","30 a 34 Anos","Doença do Trabalho-Com Cat","Feminino","2078","Com Cat Registrada"
"1999","30 a 34 Anos","Doença do Trabalho-Com Cat","Ignorado","3","Com Cat Registrada"
"1999","35 a 39 Anos","Típico-Com Cat","Masculino","36937","Com Cat Registrada"
"1999","35 a 39 Anos","Típico-Com Cat","Feminino","8772","Com Cat Registrada"
"1999","35 a 39 Anos","Típico-Com Cat","Ignorado","66","Com Cat Registrada"
"1999","35 a 39 Anos","Trajeto-Com Cat","Masculino","3430","Com Cat Registrada"
"1999","35 a 39 Anos","Trajeto-Com Cat","Feminino","1646","Com Cat Registrada"
"1999","35 a 39 Anos","Trajeto-Com Cat","Ignorado","4","Com Cat Registrada"
"1999","35 a 39 Anos","Doença do Trabalho-Com Cat","Masculino","2208","Com Cat Registrada"
"1999","35 a 39 Anos","Doença do Trabalho-Com Cat","Feminino","2105","Com Cat Registrada"
"1999","35 a 39 Anos","Doença do Trabalho-Com Cat","Ignorado","1","Com Cat Registrada"
"1999","40 a 44 Anos","Típico-Com Cat","Masculino","29027","Com Cat Registrada"
"1999","40 a 44 Anos","Típico-Com Cat","Feminino","7467","Com Cat Registrada"
"1999","40 a 44 Anos","Típico-Com Cat","Ignorado","57","Com Cat Registrada"
"1999","40 a 44 Anos","Trajeto-Com Cat","Masculino","2618","Com Cat Registrada"
"1999","40 a 44 Anos","Trajeto-Com Cat","Feminino","1489","Com Cat Registrada"
"1999","40 a 44 Anos","Trajeto-Com Cat","Ignorado","2","Com Cat Registrada"
"1999","40 a 44 Anos","Doença do Trabalho-Com Cat","Masculino","2604","Com Cat Registrada"
"1999","40 a 44 Anos","Doença do Trabalho-Com Cat","Feminino","1879","Com Cat Registrada"
"1999","40 a 44 Anos","Doença do Trabalho-Com Cat","Ignorado","0","Com Cat Registrada"
"1999","45 a 49 Anos","Típico-Com Cat","Masculino","19942","Com Cat Registrada"
"1999","45 a 49 Anos","Típico-Com Cat","Feminino","5057","Com Cat Registrada"
"1999","45 a 49 Anos","Típico-Com Cat","Ignorado","29","Com Cat Registrada"
"1999","45 a 49 Anos","Trajeto-Com Cat","Masculino","1764","Com Cat Registrada"
"1999","45 a 49 Anos","Trajeto-Com Cat","Feminino","1187","Com Cat Registrada"
"1999","45 a 49 Anos","Trajeto-Com Cat","Ignorado","1","Com Cat Registrada"
"1999","45 a 49 Anos","Doença do Trabalho-Com Cat","Masculino","1903","Com Cat Registrada"
"1999","45 a 49 Anos","Doença do Trabalho-Com Cat","Feminino","1056","Com Cat Registrada"
"1999","45 a 49 Anos","Doença do Trabalho-Com Cat","Ignorado","1","Com Cat Registrada"
"1999","50 a 54 Anos","Típico-Com Cat","Masculino","11438","Com Cat Registrada"
"1999","50 a 54 Anos","Típico-Com Cat","Feminino","3189","Com Cat Registrada"
"1999","50 a 54 Anos","Típico-Com Cat","Ignorado","22","Com Cat Registrada"
"1999","50 a 54 Anos","Trajeto-Com Cat","Masculino","998","Com Cat Registrada"
"1999","50 a 54 Anos","Trajeto-Com Cat","Feminino","750","Com Cat Registrada"
"1999","50 a 54 Anos","Trajeto-Com Cat","Ignorado","0","Com Cat Registrada"
"1999","50 a 54 Anos","Doença do Trabalho-Com Cat","Masculino","1011","Com Cat Registrada"
"1999","50 a 54 Anos","Doença do Trabalho-Com Cat","Feminino","385","Com Cat Registrada"
"1999","50 a 54 Anos","Doença do Trabalho-Com Cat","Ignorado","0","Com Cat Registrada"
"1999","55 a 59 Anos","Típico-Com Cat","Masculino","6373","Com Cat Registrada"
"1999","55 a 59 Anos","Típico-Com Cat","Feminino","1440","Com Cat Registrada"
